"{""chat"": [{""sex"": ""1"", ""content"": ""你们知道我为什么要过来和你们喝杯酒吗？""}, {""sex"": ""1"", ""content"": ""我在打赌！""}, {""sex"": ""2"", ""content"": ""打什么赌？""}, {""sex"": ""1"", ""content"": ""我刚才跟自己打赌，你们这里中如果有一个和我有心灵感应的，我就赢，如果没有我就输了。?""}, {""sex"": ""1"", ""content"": ""只要你们一分钟时间就可以了！过来喝一杯吧。”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""觉得哪里的夜店比较好玩？""}, {""sex"": ""2"", ""content"": ""(女生列举很多夜店)""}, {""sex"": ""1"", ""content"": ""看样子你是个夜店咖，都快要成工作人员了。""}, {""sex"": ""1"", ""content"": ""我喜欢旅行，我去北京和我朋友过生日的时候在MIX，我觉得MIX是全国最棒的夜店。""}, {""sex"": ""2"", ""content"": ""(女生反应)""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好帅哦""}, {""sex"": ""1"", ""content"": ""你可不要爱上我了哦。""}, {""sex"": ""1"", ""content"": ""小可爱的嘴巴这么甜的嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你吧""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱。""}, {""sex"": ""1"", ""content"": ""只有我老婆才有资格打我，打吧！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有你啊""}, {""sex"": ""1"", ""content"": ""我有你啊。""}, {""sex"": ""1"", ""content"": ""那我们什么时候登记结婚呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看看你照片""}, {""sex"": ""1"", ""content"": ""我怕你的眼睛会受不了的。""}, {""sex"": ""2"", ""content"": ""为什么？""}, {""sex"": ""1"", ""content"": ""因为看我照片就像在看闪闪发光的太阳啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我妈妈做的""}, {""sex"": ""1"", ""content"": ""咱妈也太厉害了！""}, {""sex"": ""1"", ""content"": ""妈妈这么心灵手巧，你肯定也是心灵手巧的女孩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""像吗""}, {""sex"": ""1"", ""content"": ""特别像我未来老婆。""}, {""sex"": ""1"", ""content"": ""你觉得哪里不像做我女朋友的人吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""叫你睡觉""}, {""sex"": ""1"", ""content"": ""我的仙女还没睡，我不能睡。""}, {""sex"": ""1"", ""content"": ""那你要陪我一起睡，这样我才能梦到你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可别骗我""}, {""sex"": ""1"", ""content"": ""我骗你能得到什么呢？""}, {""sex"": ""1"", ""content"": ""骗你财，还是骗你色了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不睡你在干嘛""}, {""sex"": ""1"", ""content"": ""满脑子是你，你觉得我能干嘛。""}, {""sex"": ""1"", ""content"": ""在想明天应该怎么和你说早安好呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在夸我吗""}, {""sex"": ""1"", ""content"": ""你竟然听出我在夸你了？""}, {""sex"": ""1"", ""content"": ""你这么优秀难道不应该夸一夸吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你心里有人了""}, {""sex"": ""1"", ""content"": ""你不就是在我心里吗？""}, {""sex"": ""1"", ""content"": ""现在我心里只有你了。""}], ""lock"": 1}"
