"{""chat"": [{""sex"": ""1"", ""content"": ""你好，请问下一站到是哪里？""}, {""sex"": ""2"", ""content"": ""哦……人民广场。""}, {""sex"": ""1"", ""content"": ""谢谢，你真是个好人，可以把你的电话号码告诉我吗？""}, {""sex"": ""2"", ""content"": ""嗯，要我电话号码做什么？""}, {""sex"": ""1"", ""content"": ""呵呵，其实我是想以后问时间的时候可以打电话问你啦，难得遇到你这样的好人""}, {""sex"": ""2"", ""content"": ""呵呵，你还真好玩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好我不好""}, {""sex"": ""1"", ""content"": ""哪里不好，可以跟我说说哦""}, {""sex"": ""1"", ""content"": ""所以我来让你变好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好有事吗""}, {""sex"": ""1"", ""content"": ""难道我就一定要有事才过来找你吗？""}, {""sex"": ""1"", ""content"": ""我这里有不好的事情要找你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有毒你""}, {""sex"": ""1"", ""content"": ""那有没有毒到你？""}, {""sex"": ""1"", ""content"": ""反正我知道你是我的解药。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我妈好烦""}, {""sex"": ""1"", ""content"": ""妈妈都是为你好，别嫌妈妈烦。""}, {""sex"": ""1"", ""content"": ""那你跟我多聊聊天，缓解一下烦闷的心情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""以为你死了""}, {""sex"": ""1"", ""content"": ""你都还在世，我怎么舍得死呢。""}, {""sex"": ""1"", ""content"": ""怎么你想成为寡妇啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你信我吗""}, {""sex"": ""1"", ""content"": ""百分之百相信。""}, {""sex"": ""1"", ""content"": ""肯定相信啊，你说的话我都会无条件相信的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你求婚了吗""}, {""sex"": ""1"", ""content"": ""你答应我了吗？""}, {""sex"": ""1"", ""content"": ""你愿意嫁给我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不像？""}, {""sex"": ""1"", ""content"": ""像啊，像我未来媳妇啊。""}, {""sex"": ""1"", ""content"": ""不像，我感觉像仙女似得。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""像鱼""}, {""sex"": ""1"", ""content"": ""鱼的记忆，想忘就忘了！""}, {""sex"": ""1"", ""content"": ""像鱼记住水的拥抱""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""陪陪家人""}, {""sex"": ""1"", ""content"": ""一定要好好珍惜还能陪伴在家人的机会。""}, {""sex"": ""1"", ""content"": ""我跟你一起吧，这样你既能陪家人又能陪着我，一举两得。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要陪我吗？""}, {""sex"": ""1"", ""content"": ""你喜欢我陪你嘛？""}, {""sex"": ""1"", ""content"": ""我当然得陪着你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不敢看""}, {""sex"": ""1"", ""content"": ""看看你的男朋友，有啥不敢的。""}, {""sex"": ""1"", ""content"": ""你我都敢看，我为什么你不敢看呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""听你瞎说""}, {""sex"": ""1"", ""content"": ""我说喜欢你，是瞎说吗？""}, {""sex"": ""1"", ""content"": ""对你我只剩下句句实话。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这是夸我呢还是夸我呢""}, {""sex"": ""1"", ""content"": ""你都这么说了，当然是在夸你啦。""}, {""sex"": ""1"", ""content"": ""夸夸这么好看的你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""来呀，快活呀""}, {""sex"": ""1"", ""content"": ""那不让我快活一下呀。""}, {""sex"": ""1"", ""content"": ""反正有大把时光啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好你也是""}, {""sex"": ""1"", ""content"": ""嗯嗯，你能顺便关心我真是太好了""}, {""sex"": ""1"", ""content"": ""我会的，小仙女请放心""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你打我吧""}, {""sex"": ""1"", ""content"": ""我不打我老婆的。""}, {""sex"": ""1"", ""content"": ""打你干嘛，你这么可爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有病吧？""}, {""sex"": ""1"", ""content"": ""病因是你，所以得你来治啊""}, {""sex"": ""1"", ""content"": ""这不是想让你给我治治吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是直男么""}, {""sex"": ""1"", ""content"": ""是啊，钢筋铁骨大直男。""}, {""sex"": ""1"", ""content"": ""可直可暖，没什么我不会的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""疯了疯了""}, {""sex"": ""1"", ""content"": ""我这病也只有你能医，求求你救救我吧。""}, {""sex"": ""1"", ""content"": ""我是疯了，得了爱痴病，为爱痴狂的病。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是没有钱""}, {""sex"": ""1"", ""content"": ""没钱的日子也不知道怎么过去。""}, {""sex"": ""1"", ""content"": ""没钱真的是一件很难受的事情啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可能是吧""}, {""sex"": ""1"", ""content"": ""我希望得到一个准确的答复，没有“吧”。""}, {""sex"": ""1"", ""content"": ""是。""}, {""sex"": ""1"", ""content"": ""系统消息：恭喜您，免费获得一个男朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可是我不喜欢""}, {""sex"": ""1"", ""content"": ""你知道日久生情吗，有些喜欢就是一点一点积攒下来的。""}, {""sex"": ""1"", ""content"": ""现在不喜欢又不是以后不喜欢，说不定以后就会喜欢得不得了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那就对咯""}, {""sex"": ""1"", ""content"": ""没想到竟然是这样的，有点出乎意料""}, {""sex"": ""1"", ""content"": ""真的是这样啊，那你怎么不早点告诉我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是缘分""}, {""sex"": ""1"", ""content"": ""毕竟都写在了月老的姻缘谱上。""}, {""sex"": ""1"", ""content"": ""毕竟是上辈子擦肩而过才换来的缘分啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是小事情""}, {""sex"": ""1"", ""content"": ""就算是小事也要认真对待呀。""}, {""sex"": ""1"", ""content"": ""我可不觉得这是小事，你的事对我来说都是大事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""没干什么啊""}, {""sex"": ""1"", ""content"": ""那你想不想干点什么呢。""}, {""sex"": ""1"", ""content"": ""那我准备找你发生点故事咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那怎么办嘛""}, {""sex"": ""1"", ""content"": ""能怎么办？当然是跟我在一起了。""}, {""sex"": ""1"", ""content"": ""亲我一下我就告诉你怎么办。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在干么""}, {""sex"": ""1"", ""content"": ""在想你什么时候能够想起我""}, {""sex"": ""1"", ""content"": ""我在想我没有口罩怎么去找你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在想什么""}, {""sex"": ""1"", ""content"": ""我正在想你这种小仙女怎么出现了呢。""}, {""sex"": ""1"", ""content"": ""除了脑海中想你，我还能想啥呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我什么都没做啊""}, {""sex"": ""1"", ""content"": ""你的出现就已经把我的心勾走了。""}, {""sex"": ""1"", ""content"": ""你什么都没做？！那为什么我会喜欢上你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么厉害""}, {""sex"": ""1"", ""content"": ""要做你的超级英雄必须厉害啊。""}, {""sex"": ""2"", ""content"": ""哈哈哈。""}, {""sex"": ""1"", ""content"": ""希望一辈子都能看到你崇拜的目光。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怀孕怎么办""}, {""sex"": ""1"", ""content"": ""怀孕还能怎么办啊，当然是生下来啦。""}, {""sex"": ""1"", ""content"": ""如果是我的生下来！不是我的，你就看着办。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""凭什么？""}, {""sex"": ""1"", ""content"": ""凭你是我户口本上夫妻那一栏的""}, {""sex"": ""1"", ""content"": ""哎，你看看想转正了是不是？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""恩呐，怎么称呼你呢？""}, {""sex"": ""1"", ""content"": ""你可以叫我的小名吗？""}, {""sex"": ""1"", ""content"": ""我不介意你叫我小哥哥哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么跟妹子打招呼""}, {""sex"": ""1"", ""content"": ""麻麻说主动打招呼的会成为未来的好儿媳""}, {""sex"": ""1"", ""content"": ""hello，小仙女！""}, {""sex"": ""1"", ""content"": ""呼叫小仙女，收到请回答""}, {""sex"": ""1"", ""content"": ""漂亮的先说话""}, {""sex"": ""1"", ""content"": ""我是今天第几个给你打招呼的帅比，哈哈哈""}, {""sex"": ""1"", ""content"": ""嗨，我知道你在做什么""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑我什么""}, {""sex"": ""1"", ""content"": ""笑你怎么会有我这么好的男朋友呢。""}, {""sex"": ""1"", ""content"": ""笑一笑十年少，我正在夸你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""笑什么咯""}, {""sex"": ""1"", ""content"": ""对不起，看到你就不自觉得嘴角上扬。""}, {""sex"": ""1"", ""content"": ""看到这么好看的仙女，还不允许我笑吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我能干什么坏事""}, {""sex"": ""1"", ""content"": ""你偷了我的心，这算不算坏事？""}, {""sex"": ""1"", ""content"": ""那就不好说了，背着我肯定干了些什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早早早""}, {""sex"": ""1"", ""content"": ""早安，么么哒。""}, {""sex"": ""1"", ""content"": ""你比我还早啊""}, {""sex"": ""1"", ""content"": ""每天起床第一句,先给自己打个气！""}, {""sex"": ""1"", ""content"": ""很好，我就喜欢有朝气的女孩子""}, {""sex"": ""1"", ""content"": ""早是早不了的，毕竟眼睛睁开已经是下午了""}, {""sex"": ""1"", ""content"": ""早呀，今天又是积极向上的一天""}, {""sex"": ""1"", ""content"": ""早早早，花儿对我们笑~~""}, {""sex"": ""1"", ""content"": ""不早了，你的早餐都自己吃了""}, {""sex"": ""1"", ""content"": ""真希望能面对面听到你的早安""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真懂""}, {""sex"": ""1"", ""content"": ""行走江湖这么多年，必须要懂嘛""}, {""sex"": ""1"", ""content"": ""我可是要做最懂你的男人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真爽""}, {""sex"": ""1"", ""content"": ""你可不要太羡慕哦""}, {""sex"": ""1"", ""content"": ""生活嘛，不就是要让自己爽一点""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""出来玩么""}, {""sex"": ""1"", ""content"": ""好呀，准备带我去哪玩？""}, {""sex"": ""1"", ""content"": ""你想让我陪你玩点什么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你早点睡觉""}, {""sex"": ""1"", ""content"": ""早点睡觉就可以早点梦到你了吗？""}, {""sex"": ""1"", ""content"": ""那等我再想会儿你，这样我就可以梦到你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么意思？？""}, {""sex"": ""1"", ""content"": ""难道我表达得很隐晦吗？""}, {""sex"": ""1"", ""content"": ""意思就是我想做你男朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么时候约我""}, {""sex"": ""1"", ""content"": ""那得看你什么时候有空啊。""}, {""sex"": ""1"", ""content"": ""只要有心什么时候都可以。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你啥时候回来""}, {""sex"": ""1"", ""content"": ""你想我的时候我就回去。""}, {""sex"": ""1"", ""content"": ""看工作上怎么安排，我也想早点回去见到你。""}], ""lock"": 1}"
