"{""chat"": [{""sex"": ""2"", ""content"": ""你好""}, {""sex"": ""1"", ""content"": ""不用这么严肃 我很随和幽默的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""早""}, {""sex"": ""1"", ""content"": ""早啊，小可爱，昨晚梦到我了吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你经常来这里玩吗？""}, {""sex"": ""1"", ""content"": ""不经常，每天来一次。听你的语气，你好像经常来这里玩吗？""}, {""sex"": ""2"", ""content"": ""经常""}, {""sex"": ""1"", ""content"": ""那你怎么会不认识我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你好！我想问你一个问题……有没有人告诉过你，你很适合当模特？""}, {""sex"": ""2"", ""content"": ""是有人这么说过。""}, {""sex"": ""1"", ""content"": ""我想认识你。你叫什么名字，把你电话告诉我吧。""}, {""sex"": ""2"", ""content"": ""你是做什么工作的？""}, {""sex"": ""1"", ""content"": ""你看我像做什么的？""}, {""sex"": ""2"", ""content"": ""你不会是星探吧。""}, {""sex"": ""1"", ""content"": ""你的眼力真好……一下子就猜错了。我是卖保险的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好困哦""}, {""sex"": ""1"", ""content"": ""睡吧，做个好梦，希望我能走进你的梦中。""}, {""sex"": ""1"", ""content"": ""可是我还有好多好多话还没有和你说呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好自信哦""}, {""sex"": ""1"", ""content"": ""我要是不自信，怎么配上你啊。""}, {""sex"": ""1"", ""content"": ""人要是不自信，就没能做好一件事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""丑男人""}, {""sex"": ""1"", ""content"": ""我很丑，可是我很温柔。""}, {""sex"": ""1"", ""content"": ""人是丑了点，但爱你的心是美的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你呦""}, {""sex"": ""1"", ""content"": ""老婆打老公，挺好的。""}, {""sex"": ""1"", ""content"": ""要是打坏了，你就得赔我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你打呀""}, {""sex"": ""1"", ""content"": ""打你我还心疼呢。""}, {""sex"": ""1"", ""content"": ""放在心尖上的人，我舍不得打。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""[/打脸][/打脸][/打脸]""}, {""sex"": ""1"", ""content"": ""我可是靠脸吃饭的，你别打啊。""}, {""sex"": ""1"", ""content"": ""打坏了，你记得赔我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有风有酒还想要你""}, {""sex"": ""1"", ""content"": ""有酒有故事，你要听吗。""}, {""sex"": ""1"", ""content"": ""那看来你是有点忙啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你吃糖不""}, {""sex"": ""1"", ""content"": ""吃你好不好，不想吃糖了。""}, {""sex"": ""1"", ""content"": ""你嫌我不够甜吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜～(￣▽￣～)~""}, {""sex"": ""1"", ""content"": ""我猜你猜不猜呢。""}, {""sex"": ""1"", ""content"": ""我猜你猜我猜不猜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你等会""}, {""sex"": ""1"", ""content"": ""等你一辈子哦，不见不散""}, {""sex"": ""1"", ""content"": ""反正我一直在等你，不差这一会""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我妈妈在家""}, {""sex"": ""1"", ""content"": ""那你是不是在陪着妈妈呢？""}, {""sex"": ""1"", ""content"": ""咱妈有没有叫你带男朋友回家了呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你热吗""}, {""sex"": ""1"", ""content"": ""心里有个你能不热吗！""}, {""sex"": ""1"", ""content"": ""你问我热不热是想给我降温吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你干嘛呢，""}, {""sex"": ""1"", ""content"": ""还能干嘛，当然是想你啦。""}, {""sex"": ""1"", ""content"": ""等着你来找我呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡吗""}, {""sex"": ""1"", ""content"": ""我要跟你一起睡。""}, {""sex"": ""1"", ""content"": ""等你睡着了我再睡。""}], ""lock"": 1}"
