"{""chat"": [{""sex"": ""2"", ""content"": ""你是?""}, {""sex"": ""1"", ""content"": ""我是一个很想认识你的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""以前怎么没见过你""}, {""sex"": ""1"", ""content"": ""傻瓜，不早就在你心里了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不理你。""}, {""sex"": ""1"", ""content"": ""你这样做会失去我这个帅哥的""}, {""sex"": ""1"", ""content"": ""你要是不理我，你怕是要无聊死啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是人？""}, {""sex"": ""1"", ""content"": ""我不是人难不成是鬼？""}, {""sex"": ""1"", ""content"": ""我不仅是人，我还是你的男人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你打""}, {""sex"": ""1"", ""content"": ""不不不，我可舍不得打你""}, {""sex"": ""1"", ""content"": ""我打就我打，你等着哈""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜猜嘛""}, {""sex"": ""1"", ""content"": ""你在想我会不会猜。""}, {""sex"": ""1"", ""content"": ""猜中了你亲我一下，猜错了我亲你一下""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你先猜猜""}, {""sex"": ""1"", ""content"": ""女人心海底针，我咋猜""}, {""sex"": ""1"", ""content"": ""猜中了是不是可以有个奖励？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看你好看""}, {""sex"": ""1"", ""content"": ""我可不止好看这一个优点哦""}, {""sex"": ""1"", ""content"": ""你可真是个有眼光的小仙女""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想我妈""}, {""sex"": ""1"", ""content"": ""那就给妈妈打电话吧，她一定也特别想你""}, {""sex"": ""1"", ""content"": ""马上就假期了，你就可以回家见妈妈啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那是你以为""}, {""sex"": ""1"", ""content"": ""看来是我想多了，我还以为你喜欢我呢。""}, {""sex"": ""1"", ""content"": ""我以为的以为只是我以为。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""以为你睡了""}, {""sex"": ""1"", ""content"": ""当然没有的啦，哪里有这么快睡着啊。""}, {""sex"": ""1"", ""content"": ""想和你再聊会儿，就没想那么早睡了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你来娶我吧""}, {""sex"": ""1"", ""content"": ""只要你敢说，我就敢做！""}, {""sex"": ""1"", ""content"": ""那你给我等着，我马上来娶你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""信不信我揍你""}, {""sex"": ""1"", ""content"": ""你揍吧，妈妈说挨媳妇打是福气。""}, {""sex"": ""1"", ""content"": ""你要是揍我，就是承认你喜欢我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你多高呢""}, {""sex"": ""1"", ""content"": ""跟你搭个最萌身高差还是有的""}, {""sex"": ""1"", ""content"": ""那你希望我有多高呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""新头像""}, {""sex"": ""1"", ""content"": ""感觉这个新头像很适合你呢。""}, {""sex"": ""1"", ""content"": ""什么时候要跟我换上情侣头像？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你敢亲""}, {""sex"": ""1"", ""content"": ""你就敢嫁？""}, {""sex"": ""1"", ""content"": ""你要怀疑一个男生的决心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你在干嘛啊""}, {""sex"": ""1"", ""content"": ""还能干嘛呀，等你呗。""}, {""sex"": ""1"", ""content"": ""在回一个美女的消息。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咬你脖子""}, {""sex"": ""1"", ""content"": ""你这是要给我打印记吗。""}, {""sex"": ""1"", ""content"": ""咬吧，只能给你咬。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里位置""}, {""sex"": ""1"", ""content"": ""我要霸占满你心里的位置。""}, {""sex"": ""1"", ""content"": ""我心里就只有一个位置，而且是专属于你的位置。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我能喜欢你吗""}, {""sex"": ""1"", ""content"": ""喜欢是你的权利，我无权干涉的""}, {""sex"": ""1"", ""content"": ""傻瓜，当然可以啊，被你喜欢是我的荣幸""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱你哟！""}, {""sex"": ""1"", ""content"": ""爱我就亲我表示一下呀。""}, {""sex"": ""1"", ""content"": ""能听到你说爱我就是最开心的事了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要死也是你先""}, {""sex"": ""1"", ""content"": ""也是，我可不想忍受没有你的世界。""}, {""sex"": ""1"", ""content"": ""那我只好拉着你垫背了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢不""}, {""sex"": ""1"", ""content"": ""喜欢啊，特别合我的心意""}, {""sex"": ""1"", ""content"": ""这不重要，你知道我喜欢你就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我觉得自己好丑""}, {""sex"": ""1"", ""content"": ""我觉得你好看！""}, {""sex"": ""1"", ""content"": ""再丑还是你好看。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想打你的很""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱，想打就打吧！""}, {""sex"": ""1"", ""content"": ""万一打坏了，我这辈子都算你头上了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""够撩""}, {""sex"": ""1"", ""content"": ""不够撩怎么对得起你啊。""}, {""sex"": ""1"", ""content"": ""我就想好好撩下你。""}], ""lock"": 1}"
