"{""chat"": [{""sex"": ""1"", ""content"": ""你好，我和朋友在讨论一个问题，我们都觉得自己说得对，想听听女孩的看法？""}, {""sex"": ""2"", ""content"": ""什么问题？""}, {""sex"": ""1"", ""content"": ""你觉得男人更爱撒谎还是女人更爱撒谎？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你认识我？""}, {""sex"": ""1"", ""content"": ""网络一线牵，相遇既是缘""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好看哦""}, {""sex"": ""1"", ""content"": ""再好看也没有我眼中的你好看。""}, {""sex"": ""1"", ""content"": ""好看吗？我怎么感觉你更好看呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想？""}, {""sex"": ""1"", ""content"": ""我想做一个有关于你的美梦了。""}, {""sex"": ""1"", ""content"": ""我想的很多，你再说哪个？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想吧你""}, {""sex"": ""1"", ""content"": ""那我只好想你了。""}, {""sex"": ""1"", ""content"": ""想你又不犯法，我当然得想啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是你是谁""}, {""sex"": ""1"", ""content"": ""我是你的未来老公。""}, {""sex"": ""1"", ""content"": ""我是谁不重要，我们有缘才重要。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜猜。""}, {""sex"": ""1"", ""content"": ""我要是猜中了是不是有奖励？""}, {""sex"": ""1"", ""content"": ""那你猜我猜不猜呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你再猜""}, {""sex"": ""1"", ""content"": ""猜对了有没有奖励啊。""}, {""sex"": ""1"", ""content"": ""猜我猜不猜呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你给我看看""}, {""sex"": ""1"", ""content"": ""你是想看看我是怎么喜欢你的吗？""}, {""sex"": ""1"", ""content"": ""你自己进我心里看。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你等我？""}, {""sex"": ""1"", ""content"": ""我在等一个小仙女下凡呢。""}, {""sex"": ""1"", ""content"": ""除了等你，我还能等谁""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我信你""}, {""sex"": ""1"", ""content"": ""谢谢你的信任，我不会让你失望的。""}, {""sex"": ""1"", ""content"": ""嗯嗯，我也信你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你甜吗""}, {""sex"": ""1"", ""content"": ""你尝一下不就知道了吗？""}, {""sex"": ""1"", ""content"": ""甜甜的我，你喜欢吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你吃了吗""}, {""sex"": ""1"", ""content"": ""你希望我吃了吗？！""}, {""sex"": ""1"", ""content"": ""你想请我吃饭吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想去吗""}, {""sex"": ""1"", ""content"": ""如果说我想，你带我去吗？""}, {""sex"": ""1"", ""content"": ""不想，我只想待在你身边。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也没睡""}, {""sex"": ""1"", ""content"": ""你都没睡，我怎么敢入睡啊。""}, {""sex"": ""1"", ""content"": ""你都没和我晚安，我怎么能睡着呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不多睡会""}, {""sex"": ""1"", ""content"": ""不能再睡了，再睡就要睡傻了。""}, {""sex"": ""1"", ""content"": ""不睡啦，已经睡够了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是不敢""}, {""sex"": ""1"", ""content"": ""我有什么不敢的吗！""}, {""sex"": ""1"", ""content"": ""我敢喜欢你就好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你敢咯""}, {""sex"": ""1"", ""content"": ""那必须的，哥哥的胆子够大啊。""}, {""sex"": ""1"", ""content"": ""男子汉大丈夫有什么不敢的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是瞎说""}, {""sex"": ""1"", ""content"": ""我这大眼睛怎么就瞎了呢！""}, {""sex"": ""1"", ""content"": ""我这么用心的怎么变成瞎说了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""来约""}, {""sex"": ""1"", ""content"": ""我来约你了，你准备做点什么呢。""}, {""sex"": ""1"", ""content"": ""我已经准备好约你啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不跟你约""}, {""sex"": ""1"", ""content"": ""难道你是约了其他小哥哥了？""}, {""sex"": ""1"", ""content"": ""就算你不跟我约，我也会想一百种方式约你出来的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛啊！""}, {""sex"": ""1"", ""content"": ""我在干嘛你真的这么好奇吗""}, {""sex"": ""1"", ""content"": ""怎么？还没在一起就那么在乎我了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都在干嘛呢""}, {""sex"": ""1"", ""content"": ""还能干嘛啊，想你呗。""}, {""sex"": ""1"", ""content"": ""在和某个问我在干嘛的仙女聊天。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咬你哦""}, {""sex"": ""1"", ""content"": ""使劲咬，这样你在我身上留下印记就跑不掉了。""}, {""sex"": ""1"", ""content"": ""咬坏了你可要负责的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你请我？""}, {""sex"": ""1"", ""content"": ""你要觉得不好意思，你就把你自己送给我。""}, {""sex"": ""1"", ""content"": ""不然呢，难道还让你请我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我愿意嫁给你""}, {""sex"": ""1"", ""content"": ""我愿意娶你。""}, {""sex"": ""1"", ""content"": ""嫁给我，许你余生幸福。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""被你夸的""}, {""sex"": ""1"", ""content"": ""我没有夸你，我只是在说事实。""}, {""sex"": ""1"", ""content"": ""夸你只是我的基本操作，不要害羞。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你撩人""}, {""sex"": ""1"", ""content"": ""废话，我只撩你。""}, {""sex"": ""1"", ""content"": ""我就撩你了不行吗！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有本事你来呀""}, {""sex"": ""1"", ""content"": ""有本事你过来呀，你过来呀！""}, {""sex"": ""1"", ""content"": ""有你在，我肯定得过来啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是喜欢我吗？""}, {""sex"": ""1"", ""content"": ""难道我不能喜欢你吗？""}, {""sex"": ""1"", ""content"": ""明人不说暗话，我喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有那么喜欢我吗""}, {""sex"": ""1"", ""content"": ""我没有这么喜欢你吗？""}, {""sex"": ""1"", ""content"": ""我的喜欢已经写在脸上了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你长的好丑""}, {""sex"": ""1"", ""content"": ""我只是帅的不够明显而已。""}, {""sex"": ""1"", ""content"": ""丑一点才会有安全感啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要打我？""}, {""sex"": ""1"", ""content"": ""我打我老婆干嘛。""}, {""sex"": ""1"", ""content"": ""哪敢啊，你不打我就谢天谢地了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想打架？""}, {""sex"": ""1"", ""content"": ""不约不约，我肯定打不过你。""}, {""sex"": ""1"", ""content"": ""我可是怜香惜玉的人，怎么会跟你打架？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是想我了？""}, {""sex"": ""1"", ""content"": ""我有什么时候是不想你的呢。""}, {""sex"": ""1"", ""content"": ""我要是不想你，那可能就不是我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""知道我是谁吗？""}, {""sex"": ""1"", ""content"": ""那你愿意让我知道是谁吗？""}, {""sex"": ""1"", ""content"": ""你是我的未来老婆，我知道的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我是生气了""}, {""sex"": ""1"", ""content"": ""那我只好哄你了。""}, {""sex"": ""1"", ""content"": ""你生气的样子我很喜欢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不是本人吧？""}, {""sex"": ""1"", ""content"": ""你猜啊，你猜猜看我是不是？！""}, {""sex"": ""1"", ""content"": ""我如果不是本人，你信吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可真是个人才""}, {""sex"": ""1"", ""content"": ""我不是，我是天才！""}, {""sex"": ""1"", ""content"": ""那你怎么不喜欢我这人才呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看不起谁""}, {""sex"": ""1"", ""content"": ""谁也不能看不起谁！""}, {""sex"": ""1"", ""content"": ""我觉得没有人有资格看不起谁。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢还是不喜欢""}, {""sex"": ""1"", ""content"": ""不喜欢就不会跟你待在一起这么久了。""}, {""sex"": ""1"", ""content"": ""当然是喜欢啊，我希望你能明白我对你的心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是真心处对象？""}, {""sex"": ""1"", ""content"": ""难不成我还给你假心吗。""}, {""sex"": ""1"", ""content"": ""真的，比珍珠还要真。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为什么！""}, {""sex"": ""1"", ""content"": ""你上辈子是个十万个为什么吗？""}, {""sex"": ""1"", ""content"": ""并不所有的问题都是有答案的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么这么好奇""}, {""sex"": ""1"", ""content"": ""我是一个有好奇心的男人！""}, {""sex"": ""1"", ""content"": ""因为好奇心可以使人进步呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你怎么那么甜""}, {""sex"": ""1"", ""content"": ""你都还没尝过就知道我那么甜吗？""}, {""sex"": ""1"", ""content"": ""甜甜的配你不是正好合适吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这么可爱的""}, {""sex"": ""1"", ""content"": ""这么可爱的也就是你了！""}, {""sex"": ""1"", ""content"": ""你怎么可以这么可爱呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""主动什么呀！""}, {""sex"": ""1"", ""content"": ""主动点，什么都好！""}, {""sex"": ""1"", ""content"": ""只要你主动了就会有故事。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""伤什么心呀""}, {""sex"": ""1"", ""content"": ""你在我心里，你说我伤什么心呢？""}, {""sex"": ""1"", ""content"": ""心都是你的，伤了多可惜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是这么厉害""}, {""sex"": ""1"", ""content"": ""你这么厉害我都不好意思了。""}, {""sex"": ""1"", ""content"": ""像你这么厉害的人已经不多了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""明天早饭吃什么？""}, {""sex"": ""1"", ""content"": ""你想吃什么我就陪你吃什么咯。""}, {""sex"": ""1"", ""content"": ""看你明天早上想吃什么。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""单身怎么了？""}, {""sex"": ""1"", ""content"": ""单身的话怎么体验我带给你的甜蜜呀？""}, {""sex"": ""1"", ""content"": ""难道狗粮吃不腻吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小老弟你怎么回事""}, {""sex"": ""1"", ""content"": ""没事，就是有点想你了。""}, {""sex"": ""1"", ""content"": ""我喜欢上仙女了你说怎么办。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我该怎么回答你""}, {""sex"": ""1"", ""content"": ""回答我爱你就好了。""}, {""sex"": ""1"", ""content"": ""你想怎么回答都可以，听从你的内心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不知道怎么回复你""}, {""sex"": ""1"", ""content"": ""你把我装进心里，就知道怎么回复了。""}, {""sex"": ""1"", ""content"": ""不用回复，让我静静的看着你就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你过得怎么样""}, {""sex"": ""1"", ""content"": ""还行，只是少了你没啥幸福感。""}, {""sex"": ""1"", ""content"": ""你来看看，不就知道我怎么样了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小哥哥怎么称呼""}, {""sex"": ""1"", ""content"": ""你叫我亲爱的就行，要是想叫老公我也不介意。""}, {""sex"": ""1"", ""content"": ""你就叫我小哥哥吧，听你这么叫我心都要化了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡那么早啊""}, {""sex"": ""1"", ""content"": ""睡得着就能早点梦到你啊。""}, {""sex"": ""1"", ""content"": ""早睡早起身体好呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""怎么说女生起的那么早""}, {""sex"": ""1"", ""content"": ""今天懒虫怎么起早了？""}, {""sex"": ""1"", ""content"": ""早起的仙女，你的花露水呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那该怎么说""}, {""sex"": ""1"", ""content"": ""你应该说：亲爱的，我好想你啊。""}, {""sex"": ""1"", ""content"": ""你亲我一口，我就教你怎么说。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想听什么""}, {""sex"": ""1"", ""content"": ""想听你说喜欢我！""}, {""sex"": ""1"", ""content"": ""你想说什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不带这么玩的""}, {""sex"": ""1"", ""content"": ""哎呀呀，有人玩不起了是不是？""}, {""sex"": ""1"", ""content"": ""那要怎么玩，你带我玩。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有点问题""}, {""sex"": ""1"", ""content"": ""有什么问题，我来帮你解决。""}, {""sex"": ""1"", ""content"": ""放心吧，能被提出来的问题都不是大问题。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我发现了个问题""}, {""sex"": ""1"", ""content"": ""说吧，你发现了什么问题。""}, {""sex"": ""1"", ""content"": ""是我喜欢你的问题嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我怎么好意思""}, {""sex"": ""1"", ""content"": ""你有啥不好意思的吗。""}, {""sex"": ""1"", ""content"": ""为什么要好意思呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么时候来的""}, {""sex"": ""1"", ""content"": ""趁你不注意的时候呀。""}, {""sex"": ""1"", ""content"": ""来好久了，你都没发现吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这样子呀""}, {""sex"": ""1"", ""content"": ""对啊，不然你想是什么样子的？""}, {""sex"": ""1"", ""content"": ""在爱情眼里我就是这样子的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""叫什么呢""}, {""sex"": ""1"", ""content"": ""叫什么都行，最好叫老公""}, {""sex"": ""1"", ""content"": ""我叫你一声宝贝你敢答应吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""咋""}, {""sex"": ""1"", ""content"": ""没咋的，就是想你了。""}, {""sex"": ""1"", ""content"": ""我突然发现了一件很严重的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""睡醒来了""}, {""sex"": ""1"", ""content"": ""早上好啊，睡美人""}, {""sex"": ""1"", ""content"": ""我还以为你又要睡到中午了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等你老了""}, {""sex"": ""1"", ""content"": ""就算我老了，也是最爱你的老头子""}, {""sex"": ""1"", ""content"": ""希望我老了以后身边依旧会有你陪着我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了了""}, {""sex"": ""1"", ""content"": ""吃了就吃了嘛，干嘛还卖萌。""}, {""sex"": ""1"", ""content"": ""要吃饱哦，不能饿着我家小仙女。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了好吃的""}, {""sex"": ""1"", ""content"": ""吃了什么好吃的，下次带我去呀。""}, {""sex"": ""1"", ""content"": ""我也想吃好吃的，分我一点儿。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了粉""}, {""sex"": ""1"", ""content"": ""好久没吃粉了，突然有点馋。""}, {""sex"": ""1"", ""content"": ""原来小仙女喜欢吃粉呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好了，睡觉了""}, {""sex"": ""1"", ""content"": ""那我们一起睡觉吧。""}, {""sex"": ""1"", ""content"": ""要是能不睡觉就好了，就能跟你一直待在一起。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我睡去了""}, {""sex"": ""1"", ""content"": ""好好睡觉，晚上不要踢被子。""}, {""sex"": ""1"", ""content"": ""那你准备好做梦梦到我了吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我也不漂亮啊""}, {""sex"": ""1"", ""content"": ""我可能要把你带去医院洗洗眼睛了。""}, {""sex"": ""1"", ""content"": ""你不是漂亮，只是迷人罢了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""快心动了""}, {""sex"": ""1"", ""content"": ""终于快等到你心动了，让我等得好苦啊""}, {""sex"": ""1"", ""content"": ""我是不是很快就能成为你的心动男孩了？""}], ""lock"": 1}"
