"{""chat"": [{""sex"": ""2"", ""content"": ""哥哥好""}, {""sex"": ""1"", ""content"": ""开心，突然间多了个妹妹""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""能加个微信吗""}, {""sex"": ""2"", ""content"": ""你常常在大街上搭讪吗""}, {""sex"": ""1"", ""content"": ""不多不多，一天一二百个而已""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好好工作哦""}, {""sex"": ""1"", ""content"": ""放心吧，赚钱养你的啦。""}, {""sex"": ""1"", ""content"": ""努力工作让自己变得更好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你对我好吗？""}, {""sex"": ""1"", ""content"": ""给我个机会，我会让你看到我对你的好。""}, {""sex"": ""1"", ""content"": ""像我这么好的人，当然会对你好的啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你这样真的好吗""}, {""sex"": ""1"", ""content"": ""好不好试过才知道不是吗？""}, {""sex"": ""1"", ""content"": ""喜欢你这有什么不好的呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好呀!~""}, {""sex"": ""1"", ""content"": ""你好我好大家好呀。""}, {""sex"": ""1"", ""content"": ""这是我第一次被美女搭讪""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好便是晴天""}, {""sex"": ""1"", ""content"": ""你若安好便是晴天""}, {""sex"": ""1"", ""content"": ""这晴天可是大太阳，注意防晒。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好呀，你好呀""}, {""sex"": ""1"", ""content"": ""你也好啊！我的小仙女！""}, {""sex"": ""1"", ""content"": ""我很好！就是一直在想小仙女你呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""丑嘛""}, {""sex"": ""1"", ""content"": ""明明美若天仙，哪丑了？""}, {""sex"": ""1"", ""content"": ""是挺丑的，可是丑成了我喜欢的样子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱爱爱""}, {""sex"": ""1"", ""content"": ""我要把你给我的爱收藏起来，时不时拿出来偷偷开心一下。""}, {""sex"": ""1"", ""content"": ""原来你对我的爱意如此浓烈。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你哟""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱，不打不骂才是怪 ""}, {""sex"": ""1"", ""content"": ""打在我身痛在你心啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有鱼塘""}, {""sex"": ""1"", ""content"": ""就算我有鱼塘，我的鱼塘里也只有你这一条鱼。""}, {""sex"": ""1"", ""content"": ""如果我有鱼塘，那一定是为你承包的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""爱走不走""}, {""sex"": ""1"", ""content"": ""反正我不走，我要一直赖在你身边。""}, {""sex"": ""1"", ""content"": ""你想让我走去哪啊？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""走吧你""}, {""sex"": ""1"", ""content"": ""那我现在立刻马上走到你身边去。""}, {""sex"": ""1"", ""content"": ""无论我走到哪里，都是在向着你的方向靠近的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""走撒""}, {""sex"": ""1"", ""content"": ""我已经走到你心里了呀""}, {""sex"": ""1"", ""content"": ""走去哪呀，你要带我去哪里？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你看看你""}, {""sex"": ""1"", ""content"": ""正好是做你男朋友的料子啊。""}, {""sex"": ""1"", ""content"": ""乍一看一般，但是仔细看会发现很适合你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你看看别人""}, {""sex"": ""1"", ""content"": ""我眼里只有你，已经看不见别人了。""}, {""sex"": ""1"", ""content"": ""可我只想看你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""发相片看看你""}, {""sex"": ""1"", ""content"": ""那你一定要好好看看我哟。""}, {""sex"": ""1"", ""content"": ""难道我本人不比照片好看吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看看你的实力""}, {""sex"": ""1"", ""content"": ""我的实力是说看就能看的吗？""}, {""sex"": ""1"", ""content"": ""怎么，你还不相信我的实力？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁说要追你""}, {""sex"": ""1"", ""content"": ""那你不追我，我追你好不好。""}, {""sex"": ""1"", ""content"": ""梦里你和我说的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你追啊""}, {""sex"": ""1"", ""content"": ""那你有本事不要给我跑啊！""}, {""sex"": ""1"", ""content"": ""追人也是一件很不轻松的事情啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你追我呀""}, {""sex"": ""1"", ""content"": ""你有本事别跑啊！""}, {""sex"": ""1"", ""content"": ""追到了之后有奖励没？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你等着啊""}, {""sex"": ""1"", ""content"": ""等你来爱我吗？""}, {""sex"": ""1"", ""content"": ""等着就等着，有本事你来啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你妈妈知道吗""}, {""sex"": ""1"", ""content"": ""我妈不知道。""}, {""sex"": ""1"", ""content"": ""知道啊，怎么了?""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说的是实话""}, {""sex"": ""1"", ""content"": ""说你漂亮也是实话呀。""}, {""sex"": ""1"", ""content"": ""而且还是大实话！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我以为""}, {""sex"": ""1"", ""content"": ""你以为的以为只是你以为。""}, {""sex"": ""1"", ""content"": ""果然你还只是一个天真的小女孩啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你信啊""}, {""sex"": ""1"", ""content"": ""我貌似没有理由不去相信啊。""}, {""sex"": ""1"", ""content"": ""我真的找不到什么理由不去相信了。""}], ""lock"": 1}"
