"{""chat"": [{""sex"": ""1"", ""content"": ""能不能和我拍个照?""}, {""sex"": ""2"", ""content"": ""为什么？?""}, {""sex"": ""1"", ""content"": ""我要向我同事证明，天使是存在的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""探探说你喜欢我?""}, {""sex"": ""2"", ""content"": ""屁?""}, {""sex"": ""1"", ""content"": ""请欺负我，放过探探，不管他的事?""}, {""sex"": ""2"", ""content"": ""我不会把他咋样的?""}, {""sex"": ""1"", ""content"": ""那你打算把我咋样""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你长得好帅哦""}, {""sex"": ""1"", ""content"": ""帅又不能当饭吃。""}, {""sex"": ""1"", ""content"": ""只要你喜欢就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是好人吗""}, {""sex"": ""1"", ""content"": ""不是，我只想做个偷你心的贼""}, {""sex"": ""1"", ""content"": ""好人不长命啊，我还挺愿意当个坏人的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘴抹了蜜""}, {""sex"": ""1"", ""content"": ""那你舔一下是不是甜的？""}, {""sex"": ""1"", ""content"": ""想把这些蜜亲到你脸上。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你走叭""}, {""sex"": ""1"", ""content"": ""我不走，我就赖上你了。""}, {""sex"": ""1"", ""content"": ""我走了你会偷偷哭泣的，我可不能让你伤心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想吃了你""}, {""sex"": ""1"", ""content"": ""你这胃口还真好，居然想吃我！""}, {""sex"": ""1"", ""content"": ""想吃我，还是想吃我的饭？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等你回我""}, {""sex"": ""1"", ""content"": ""对不起，让你久等了。""}, {""sex"": ""1"", ""content"": ""都怪我，让你等了这么久。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我充电""}, {""sex"": ""1"", ""content"": ""我的电也耗完了，需要你为我充充电。""}, {""sex"": ""1"", ""content"": ""那你快点充，充好了告诉我，我等你给我发消息哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要约我？""}, {""sex"": ""1"", ""content"": ""喜欢你就要约你。""}, {""sex"": ""1"", ""content"": ""约小仙女出来玩一直都是我的目标""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""元旦约么""}, {""sex"": ""1"", ""content"": ""那得看你想怎么约了。""}, {""sex"": ""1"", ""content"": ""元旦不约何时约呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""要预约""}, {""sex"": ""1"", ""content"": ""现在去哪都要预约哦，不知道跟你吃饭需不需要预约呢。""}, {""sex"": ""1"", ""content"": ""我想预约一下你的周末，可以吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是夸你""}, {""sex"": ""1"", ""content"": ""你这么夸我让我觉得受宠若惊。""}, {""sex"": ""1"", ""content"": ""你夸我一下，我会高兴好几天。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真會撩""}, {""sex"": ""1"", ""content"": ""撩你当然得会撩啊。""}, {""sex"": ""1"", ""content"": ""遇到对的人，就能撩对人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你会撩人""}, {""sex"": ""1"", ""content"": ""而且我还会撩你呢。""}, {""sex"": ""1"", ""content"": ""废话，我不撩人怎么撩你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不会撩妹""}, {""sex"": ""1"", ""content"": ""那你有本事给我撩一个看看啊""}, {""sex"": ""1"", ""content"": ""我不会撩妹，那你来撩我啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哎呀你好你好""}, {""sex"": ""1"", ""content"": ""哎呀小仙女你也好呀""}, {""sex"": ""1"", ""content"": ""小仙女竟然主动跟我打招呼了？激动！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你喜欢吗""}, {""sex"": ""1"", ""content"": ""我觉得我还是觉得比较喜欢你""}, {""sex"": ""1"", ""content"": ""你应该问问你自己 “我喜欢吗”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想你了！""}, {""sex"": ""1"", ""content"": ""巧了，我也想你了。""}, {""sex"": ""1"", ""content"": ""我比你还更想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你够好了""}, {""sex"": ""1"", ""content"": ""我还不够好，我会努力变得更好的。""}, {""sex"": ""1"", ""content"": ""我足够好的话能够得到你的喜欢吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你很闲嘛""}, {""sex"": ""1"", ""content"": ""我可以想尽一切办法腾出时间来陪你。""}, {""sex"": ""1"", ""content"": ""哪有，我明明很忙，忙着想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不想祸害你""}, {""sex"": ""1"", ""content"": ""可是我想被你祸害呢。""}, {""sex"": ""1"", ""content"": ""都遇见了，不祸害一下说不过去吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是的""}, {""sex"": ""1"", ""content"": ""不听不听，你肯定在骗我。""}, {""sex"": ""2"", ""content"": ""真的不是。""}, {""sex"": ""1"", ""content"": ""好吧，小仙女说不是那就不是吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就是仙女""}, {""sex"": ""1"", ""content"": ""我懂啊，你不就是那个小仙女嘛！""}, {""sex"": ""1"", ""content"": ""仙女请问你有啥吩咐呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是噢""}, {""sex"": ""1"", ""content"": ""当然是了，爱你的心还会有假？""}, {""sex"": ""1"", ""content"": ""是啊，难道我会骗小仙女吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是吗？？""}, {""sex"": ""1"", ""content"": ""不是的话我会不会挨打？""}, {""sex"": ""1"", ""content"": ""是啊，你不相信嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是狗吗？""}, {""sex"": ""1"", ""content"": ""你是不是应该拯救一下我这单身狗啊。""}, {""sex"": ""1"", ""content"": ""见过这么帅气迷人的狗吗？""}], ""lock"": 1}"
