"{""chat"": [{""sex"": ""1"", ""content"": ""我想和你认识下""}, {""sex"": ""2"", ""content"": ""可以啊！""}, {""sex"": ""1"", ""content"": ""你答应得这么爽快，我接下来的台词都白准备了呢。 你是我遇见的最友善的女孩子，我决定请你喝点东西，想喝点什么？""}, {""sex"": ""2"", ""content"": ""跟你一样""}, {""sex"": ""1"", ""content"": ""谢谢，你令我心情一下子非常好，我要请你吃饭""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""探探说你喜欢我""}, {""sex"": ""2"", ""content"": ""我咋不知道?""}, {""sex"": ""1"", ""content"": ""右滑的那一刻， 互相喜欢品味出众""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你好，你的钱掉了""}, {""sex"": ""2"", ""content"": ""不是我掉的""}, {""sex"": ""1"", ""content"": ""天哪，想不到在这个道德沦丧的社会竟然还有你这样既不贪财又长得好看的女孩子，我喜欢跟内在美丽的人交朋友，请你无论如何要留电话给我哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""见到你我感觉很遗憾""}, {""sex"": ""2"", ""content"": ""什么意思""}, {""sex"": ""1"", ""content"": ""要是我小时候能认识你，小时候就不会疼得像杀猪那样叫了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你长得像我一个亲戚""}, {""sex"": ""2"", ""content"": ""谁啊?""}, {""sex"": ""1"", ""content"": ""我妈的儿媳妇""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你看我理你不""}, {""sex"": ""1"", ""content"": ""没事啊，反正我是理你的啦。""}, {""sex"": ""1"", ""content"": ""你要是不理我，我可就没人理了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想你呀！""}, {""sex"": ""1"", ""content"": ""你多想我我就多想你""}, {""sex"": ""1"", ""content"": ""不想我想谁呀！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你...好？""}, {""sex"": ""1"", ""content"": ""你好啊，你这么害羞我都不敢展开了""}, {""sex"": ""1"", ""content"": ""你好~~看来我抓到一只会害羞的小可爱呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是一个好男人""}, {""sex"": ""1"", ""content"": ""我这是被发好人卡了吗？""}, {""sex"": ""1"", ""content"": ""既然知道我是好男人，那是不是应该好好珍惜我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你啦""}, {""sex"": ""1"", ""content"": ""老公被老婆打正常。""}, {""sex"": ""1"", ""content"": ""要打赶紧打，过了这村就没这店了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你吃糖""}, {""sex"": ""1"", ""content"": ""有你就够甜了，我不需要吃糖。""}, {""sex"": ""1"", ""content"": ""我觉得糖还没有你好吃呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了 你呢""}, {""sex"": ""1"", ""content"": ""没你在身边，没啥胃口吃。""}, {""sex"": ""1"", ""content"": ""还没吃，你要带我一起吃吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜鸭""}, {""sex"": ""1"", ""content"": ""我猜你有只小鸭鸭的！""}, {""sex"": ""1"", ""content"": ""那你猜猜我在猜什么呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等着你""}, {""sex"": ""1"", ""content"": ""对不起，让你久等了。""}, {""sex"": ""1"", ""content"": ""放心，我不会让你等我太久的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你继续说吧""}, {""sex"": ""1"", ""content"": ""我要是继续说了，你愿意听吗。""}, {""sex"": ""1"", ""content"": ""放心吧，我会对你负责到底的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你抗揍嘛""}, {""sex"": ""1"", ""content"": ""看来我是免不了一顿暴揍了。""}, {""sex"": ""1"", ""content"": ""不抗揍，不过我能扛走你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想打你呢""}, {""sex"": ""1"", ""content"": ""还好你只是想，而不是真的打。""}, {""sex"": ""1"", ""content"": ""小仙女怎么可以有这么暴力的想法呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我来陪你了""}, {""sex"": ""1"", ""content"": ""那这辈子你就好好陪着。""}, {""sex"": ""1"", ""content"": ""你不陪我谁还陪我啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你撩我蛮会撩咧""}, {""sex"": ""1"", ""content"": ""我只是撩我喜欢的人而已。""}, {""sex"": ""1"", ""content"": ""怎么还不让我撩了是吧？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""被你撩了""}, {""sex"": ""1"", ""content"": ""我就是为了撩你才出现的。""}, {""sex"": ""1"", ""content"": ""撩你不是很正常的事情嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""在你心里呢""}, {""sex"": ""1"", ""content"": ""活蹦乱跳的让我心好乱啊。""}, {""sex"": ""1"", ""content"": ""你是在我心里跑来跑去的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""喜欢吗？""}, {""sex"": ""1"", ""content"": ""已经喜欢到语无伦次了。""}, {""sex"": ""1"", ""content"": ""好喜欢，就像喜欢你一样喜欢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也是哟""}, {""sex"": ""1"", ""content"": ""有你这句话我的心暖暖的""}, {""sex"": ""1"", ""content"": ""嗯嗯，谢谢小仙女的关心啦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你找""}, {""sex"": ""1"", ""content"": ""找啊找啊找，我就找到你了呀""}, {""sex"": ""1"", ""content"": ""那我找到了就是属于我的了哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""俺喜欢你""}, {""sex"": ""1"", ""content"": ""喜欢我就喜欢我，为啥要用东北话？""}, {""sex"": ""1"", ""content"": ""俺也稀罕你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜欢嘛""}, {""sex"": ""1"", ""content"": ""我觉得我还是觉得比较喜欢你""}, {""sex"": ""1"", ""content"": ""你应该问问你自己 “我喜欢吗”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""够不""}, {""sex"": ""1"", ""content"": ""够够够，都已经超额了""}, {""sex"": ""1"", ""content"": ""够啦，我是个很容易满足的人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是有病""}, {""sex"": ""1"", ""content"": ""那你能治好我的病嘛？""}, {""sex"": ""1"", ""content"": ""有病不可怕，可怕的是无药可医。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是呀！""}, {""sex"": ""1"", ""content"": ""来，今晚我们一起告别寂寞空虚冷。""}, {""sex"": ""1"", ""content"": ""你也承认你这辈子离不开我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是吗?""}, {""sex"": ""1"", ""content"": ""请把“吗”去掉好吗，我像是会骗你的人吗？""}, {""sex"": ""1"", ""content"": ""你这么一问害我有点不敢确定了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦是吗？""}, {""sex"": ""1"", ""content"": ""怎么，不相信吗？""}, {""sex"": ""1"", ""content"": ""永远不要怀疑一个爱你的男人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是夸我吗""}, {""sex"": ""1"", ""content"": ""仙女还需要夸的吗？""}, {""sex"": ""1"", ""content"": ""当然，不是了，请不要做梦好吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是谁来""}, {""sex"": ""1"", ""content"": ""我是谁不重要，重要的是因为你""}, {""sex"": ""1"", ""content"": ""我是谁这个还是得问你啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""也许你是觉得我烦吧""}, {""sex"": ""1"", ""content"": ""像你这么可爱的人，我怎么会觉得你烦呢。""}, {""sex"": ""1"", ""content"": ""我就是喜欢你烦我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你觉得我是个咋样的人""}, {""sex"": ""1"", ""content"": ""我觉得你是个我喜欢的人。""}, {""sex"": ""1"", ""content"": ""你是个好人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不傻""}, {""sex"": ""1"", ""content"": ""喜欢你的人怎么可能会傻嘛。""}, {""sex"": ""1"", ""content"": ""我不傻，但不代表你不傻啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是我的""}, {""sex"": ""1"", ""content"": ""对，我就是你的，一辈子都是你的。""}, {""sex"": ""1"", ""content"": ""是你的是你的，没有人会跟你抢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是对的""}, {""sex"": ""1"", ""content"": ""哇哇哇，我猜对了是不是应该得到奖励？""}, {""sex"": ""1"", ""content"": ""我就知道我这么聪明说的准没错""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我应该怎样""}, {""sex"": ""1"", ""content"": ""你应该乖乖做我的女朋友。""}, {""sex"": ""1"", ""content"": ""你应该好好生活，把自己变成更优秀的人。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是个男的""}, {""sex"": ""1"", ""content"": ""当然，不然我怎么喜欢你呢。""}, {""sex"": ""1"", ""content"": ""我哪里不像个男的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我都不知道你谁""}, {""sex"": ""1"", ""content"": ""你不知道我谁？我是你老公啊。""}, {""sex"": ""1"", ""content"": ""你说这话太伤我的心了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""只是喜欢？""}, {""sex"": ""1"", ""content"": ""不单单是喜欢，还有很多比喜欢更深层次的东西。""}, {""sex"": ""1"", ""content"": ""除了喜欢，你再给我点别的呗！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你什么都不是""}, {""sex"": ""1"", ""content"": ""原来我在你心里这么微不足道吗？""}, {""sex"": ""1"", ""content"": ""没错我什么都不是，我只是一个喜欢你的人而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是美颜的""}, {""sex"": ""1"", ""content"": ""那也是因为你底子好啊，底子不好美颜都无法拯救。""}, {""sex"": ""1"", ""content"": ""好看的女孩都谦虚。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""暗杀""}, {""sex"": ""1"", ""content"": ""有我暗中保护你，我不会让你受伤的。""}, {""sex"": ""1"", ""content"": ""像你这么好看的小仙女，我真的很担心你的安危。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真的是这样吗""}, {""sex"": ""1"", ""content"": ""如果不是的话，我的狗头让你打爆。""}, {""sex"": ""1"", ""content"": ""难道你在怀疑我说的话吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""什么故事啊""}, {""sex"": ""1"", ""content"": ""一个关于我们的故事啊。""}, {""sex"": ""1"", ""content"": ""那得看你想要什么故事了。""}], ""lock"": 1}"
