"{""chat"": [{""sex"": ""2"", ""content"": ""我们不熟""}, {""sex"": ""1"", ""content"": ""没事，就像你和我从青涩的熟悉开始""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不认识你""}, {""sex"": ""1"", ""content"": ""朋友和情人不都是从陌生到熟悉的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你经常来这里玩吗？""}, {""sex"": ""1"", ""content"": ""经常，你经常来这里玩吗？""}, {""sex"": ""2"", ""content"": ""不经常""}, {""sex"": ""1"", ""content"": ""难怪你不认识我，不管经常来的人还是不经常来的人，能认识你都是一件令人愉快的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好你好吼~""}, {""sex"": ""1"", ""content"": ""你好啊~请问你是来人认识我的小可爱吗？""}, {""sex"": ""1"", ""content"": ""你好~~好久没有遇到这么可爱的小姐姐咯。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你能好好说话吗""}, {""sex"": ""1"", ""content"": ""我怕好好说话你会控制不住爱上我。""}, {""sex"": ""1"", ""content"": ""这不是为了能和你同境界交流嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就是你""}, {""sex"": ""1"", ""content"": ""不一样的烟火！""}, {""sex"": ""1"", ""content"": ""你也是你，我喜欢的那个你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你想想""}, {""sex"": ""1"", ""content"": ""想着想着脑袋里就浮现出你的脸。""}, {""sex"": ""1"", ""content"": ""不用想了，想的全是你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好!""}, {""sex"": ""1"", ""content"": ""抓到一只小可爱。""}, {""sex"": ""1"", ""content"": ""你好，真是个有礼貌的小姐姐。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这是为你好""}, {""sex"": ""1"", ""content"": ""你说是为我好，可你知道什么才是真的对我好吗？""}, {""sex"": ""1"", ""content"": ""很开心你能为我着想，但我也有自己的想法""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你油嘴滑舌的""}, {""sex"": ""1"", ""content"": ""你又没舔过，怎么知道呢？""}, {""sex"": ""1"", ""content"": ""那还不是为了把你哄开心嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嘴""}, {""sex"": ""1"", ""content"": ""都是因为你给我的日照太充足了，所以我才会这么甜""}, {""sex"": ""1"", ""content"": ""这么说以后跟我聊天，你是不是要打着胰岛素过来聊""}, {""sex"": ""1"", ""content"": ""你又没舔过 怎么知道？""}, {""sex"": ""1"", ""content"": ""那也只对你油嘴滑舌咯。""}, {""sex"": ""1"", ""content"": ""那赶紧给而我个么么哒鼓励我""}, {""sex"": ""1"", ""content"": ""说得好像你尝过一样（害羞）""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有毒嘛""}, {""sex"": ""1"", ""content"": ""那你有解药吗。""}, {""sex"": ""1"", ""content"": ""有没有毒你尝过不就知道了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""走""}, {""sex"": ""1"", ""content"": ""这是要来一场...........""}, {""sex"": ""2"", ""content"": ""什么？""}, {""sex"": ""1"", ""content"": ""一场说走就走的旅行。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你自己看看""}, {""sex"": ""1"", ""content"": ""我看了看，觉得问题不大！""}, {""sex"": ""1"", ""content"": ""你猜我看见什么了，我看见了一个小仙女""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就等你""}, {""sex"": ""1"", ""content"": ""我马上就来了！""}, {""sex"": ""1"", ""content"": ""等着我，我不会让你等太久了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想吃有妈妈味道的粽子""}, {""sex"": ""1"", ""content"": ""那你快来我家，我叫咱妈多做点妈妈牌粽子。""}, {""sex"": ""1"", ""content"": ""吃了那么多粽子，还是妈妈做的粽子最好吃呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""说谁呢你""}, {""sex"": ""1"", ""content"": ""说你这个小可爱呢！""}, {""sex"": ""1"", ""content"": ""除了你，我嘴里还能说出谁？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你像傻子""}, {""sex"": ""1"", ""content"": ""一般说别人傻的人是最傻的。""}, {""sex"": ""1"", ""content"": ""我只是像傻子，而你就是傻子。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""可爱像你""}, {""sex"": ""1"", ""content"": ""我希望咱们以后的宝贝像你，肯定好看。""}, {""sex"": ""1"", ""content"": ""我不可爱，你才是最可爱的呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""约你看电影""}, {""sex"": ""1"", ""content"": ""好呀，你想看什么电影我们一起去""}, {""sex"": ""1"", ""content"": ""那你请我看电影我请你吃火锅好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""瞎了吧""}, {""sex"": ""1"", ""content"": ""我要是瞎了怎么可能看上你呢。""}, {""sex"": ""1"", ""content"": ""眼睛瞎了还能遇到你那真的太棒了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想咬你一口""}, {""sex"": ""1"", ""content"": ""我岂是你想咬就能咬的。""}, {""sex"": ""1"", ""content"": ""我又不是苹果，咬我干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我请""}, {""sex"": ""1"", ""content"": ""小仙女请客我可得好好吃一顿呀""}, {""sex"": ""1"", ""content"": ""那是不是应该要请顿大的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你请我啊""}, {""sex"": ""1"", ""content"": ""那你一定是喜欢上我了""}, {""sex"": ""1"", ""content"": ""请你吃饭不是我必须要做的吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""hi你好呀""}, {""sex"": ""1"", ""content"": ""小仙女的问候真让人心动呢""}, {""sex"": ""1"", ""content"": ""你也好呀，我一直在等你呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你身高多少？""}, {""sex"": ""1"", ""content"": ""和你有个最萌身高差。""}, {""sex"": ""1"", ""content"": ""比你高可以为你挡风遮雨。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里有""}, {""sex"": ""1"", ""content"": ""我要占据你心里的全部位置""}, {""sex"": ""1"", ""content"": ""那就让我一直一直待在你心里吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你心里有我吗""}, {""sex"": ""1"", ""content"": ""你不就在我心里吗？！""}, {""sex"": ""1"", ""content"": ""我心里什么时候没有你了。""}], ""lock"": 1}"
