"{""chat"": [{""sex"": ""2"", ""content"": ""你酒量好吗""}, {""sex"": ""1"", ""content"": ""怎么？想灌醉我呀。""}, {""sex"": ""1"", ""content"": ""酒量不好能出来撑场面吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你身体好吗""}, {""sex"": ""1"", ""content"": ""那必须的，哥哥的身体杠杠的。""}, {""sex"": ""1"", ""content"": ""我身体要是不好以后怎么来好好照顾你呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好""}, {""sex"": ""1"", ""content"": ""你好呀，可爱的小仙女。""}, {""sex"": ""1"", ""content"": ""被仙女搭讪了，我有点紧张。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好请问你是""}, {""sex"": ""1"", ""content"": ""等我介绍完自己，你要永远记住我哦""}, {""sex"": ""1"", ""content"": ""我是谁你不知道，我好难过呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你找打""}, {""sex"": ""1"", ""content"": ""打是亲骂是爱。""}, {""sex"": ""1"", ""content"": ""你又打不过我，最后被打屁屁的还是你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你头""}, {""sex"": ""1"", ""content"": ""把我打傻了，你怎么办？""}, {""sex"": ""1"", ""content"": ""打得手疼了，还不是我心疼你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃了  你呢""}, {""sex"": ""1"", ""content"": ""我想吃掉你。""}, {""sex"": ""1"", ""content"": ""我也吃了，不过味道很一般。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜猜""}, {""sex"": ""1"", ""content"": ""哎呀，我这么笨会不会猜不出来呀？""}, {""sex"": ""1"", ""content"": ""那你是不是应该给我一点提示呀，不然怎么猜呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我看看你的""}, {""sex"": ""1"", ""content"": ""想看我的可没这么简单，怎么说你也得有点表示不是。""}, {""sex"": ""1"", ""content"": ""就怕你看了我的后会为我沦陷。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""因为你是直男""}, {""sex"": ""1"", ""content"": ""直男只是不懂怎么表达温柔而已。""}, {""sex"": ""1"", ""content"": ""正因为我是直男，所以需要你的改造啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""信不信我打你啊""}, {""sex"": ""1"", ""content"": ""信，我为啥不信呢。""}, {""sex"": ""1"", ""content"": ""不信，你真的舍得打我吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你先睡嘛""}, {""sex"": ""1"", ""content"": ""那你希望我早点睡嘛。""}, {""sex"": ""1"", ""content"": ""睡什么睡，嗨起来！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""敢不敢""}, {""sex"": ""1"", ""content"": ""长这么大就还没有什么是我不敢的""}, {""sex"": ""1"", ""content"": ""你都下战书了难道我还会不应战吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看电视。""}, {""sex"": ""1"", ""content"": ""看电视哪有跟我通视频好看啊？""}, {""sex"": ""1"", ""content"": ""那我要从电视里钻出去吓你一跳。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你眼瞎吗？""}, {""sex"": ""1"", ""content"": ""不瞎啊，看你还是看得一清二楚。""}, {""sex"": ""1"", ""content"": ""我要眼瞎就遇不到你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你约我干嘛""}, {""sex"": ""1"", ""content"": ""当然是约你出来玩啦。""}, {""sex"": ""1"", ""content"": ""约会没你还能是约会嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那我约你""}, {""sex"": ""1"", ""content"": ""你都约我了，我肯定会来的。""}, {""sex"": ""1"", ""content"": ""真好，我也是一个被人约的人了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想骗我""}, {""sex"": ""1"", ""content"": ""你这么聪明伶俐，我哪敢骗你啊？""}, {""sex"": ""1"", ""content"": ""想把你骗回家做媳妇。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""滚滚滚滚滚滚""}, {""sex"": ""1"", ""content"": ""滚到你心里吗？""}, {""sex"": ""1"", ""content"": ""太难了，你先教我一下。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想你在干嘛现在""}, {""sex"": ""1"", ""content"": ""在想怎么说喜欢你才好呢。""}, {""sex"": ""1"", ""content"": ""还能干嘛看着你的照片傻笑呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛呢。""}, {""sex"": ""1"", ""content"": ""和我妈儿媳妇聊天呢。""}, {""sex"": ""1"", ""content"": ""没干嘛，只不过在望着你的照片发呆而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我咬人可疼了""}, {""sex"": ""1"", ""content"": ""那你咬我一口试试！""}, {""sex"": ""1"", ""content"": ""我喜欢被你咬的疼。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你撩妹啊""}, {""sex"": ""1"", ""content"": ""你不就是被我撩的妹妹吗。""}, {""sex"": ""1"", ""content"": ""我现在只想撩你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你多高""}, {""sex"": ""1"", ""content"": ""反正比你高可以为你挡风挡雨就行。""}, {""sex"": ""1"", ""content"": ""和你能产生最萌身高差。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你多高吖""}, {""sex"": ""1"", ""content"": ""你猜猜，猜对了有奖励。""}, {""sex"": ""1"", ""content"": ""也就是比你高一点点啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你高兴吗""}, {""sex"": ""1"", ""content"": ""有你在我当然是高兴的啦。""}, {""sex"": ""1"", ""content"": ""在你身边，我哪能不高兴啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里装着你""}, {""sex"": ""1"", ""content"": ""我很霸道的，我要占据你的一整颗心。""}, {""sex"": ""1"", ""content"": ""礼尚往来，我也要把你装进我的心里。""}], ""lock"": 1}"
