"{""chat"": [{""sex"": ""1"", ""content"": ""把名字告诉我，送你一个礼物""}, {""sex"": ""2"", ""content"": ""送什么礼物？""}, {""sex"": ""1"", ""content"": ""送你一个备注（开场）""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好你好""}, {""sex"": ""1"", ""content"": ""你在的话就更好了""}, {""sex"": ""1"", ""content"": ""你好，我寻找已久的梦中人""}, {""sex"": ""1"", ""content"": ""你是想问路呢？还是想推销呢？还是想认识帅哥呢？""}, {""sex"": ""1"", ""content"": ""Im fine thanks,and you?""}, {""sex"": ""1"", ""content"": ""不要跟我说你好，这会是我们爱情的开始""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是个好孩子""}, {""sex"": ""1"", ""content"": ""我会乖乖的，你会领养我吗？""}, {""sex"": ""1"", ""content"": ""我不光是个好孩子，我还会是你的好老公。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你你你……""}, {""sex"": ""1"", ""content"": ""我什么我，我就喜欢你怎么了。""}, {""sex"": ""1"", ""content"": ""我知道我帅，但是你没必要结巴。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有你妹""}, {""sex"": ""1"", ""content"": ""女孩子要温柔一点才可爱哦。""}, {""sex"": ""1"", ""content"": ""我没有妹妹，但我想要有女朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看看你呗""}, {""sex"": ""1"", ""content"": ""你是想正着看反着看近着看还是远着看？""}, {""sex"": ""1"", ""content"": ""我又不是动物园的猴子，禁止围观！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""妈妈去世了""}, {""sex"": ""1"", ""content"": ""妈妈现在一定想看到你坚强的样子""}, {""sex"": ""1"", ""content"": ""我知道你很难过，但有我在呢，我会一直陪着你""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你说的是你吗""}, {""sex"": ""1"", ""content"": ""不是，是你的男朋友。""}, {""sex"": ""1"", ""content"": ""如假包换，你可以来亲自验货哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你信啥啊""}, {""sex"": ""1"", ""content"": ""我信我喜欢你的人是我。""}, {""sex"": ""1"", ""content"": ""我信我能喜欢上你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我带你吗""}, {""sex"": ""1"", ""content"": ""带带我呗。""}, {""sex"": ""1"", ""content"": ""你如果不带我，你良心不痛吗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""下班了，你呢？""}, {""sex"": ""1"", ""content"": ""好巧，我也下班了，要不一起吃顿饭？""}, {""sex"": ""1"", ""content"": ""在等你下班呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在搞笑呢""}, {""sex"": ""1"", ""content"": ""没有啊，我在认真的逗你笑呢。""}, {""sex"": ""1"", ""content"": ""那请问你笑了没有""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等你来约我呀！""}, {""sex"": ""1"", ""content"": ""我现在约你了，你答应吗。""}, {""sex"": ""1"", ""content"": ""美女，你约吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""请你吃饭？""}, {""sex"": ""1"", ""content"": ""我请你也行啊。""}, {""sex"": ""1"", ""content"": ""难道请我吃饭是很为难的事吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""反正我不嫁给你了""}, {""sex"": ""1"", ""content"": ""那我娶你好了。""}, {""sex"": ""1"", ""content"": ""那我嫁给你好了。""}], ""lock"": 1}"
