"{""chat"": [{""sex"": ""2"", ""content"": ""想搭讪的话，建议你换一个方法""}, {""sex"": ""1"", ""content"": ""我对你的建议很感兴趣，讲来听听，讲得好可以考虑留电话给你哦。""}, {""sex"": ""2"", ""content"": ""那得看你值不值得我建议。""}, {""sex"": ""1"", ""content"": ""我给你 5 块钱，怎么样,还不用找钱哦""}, {""sex"": ""2"", ""content"": ""那不是很值得我建议。""}, {""sex"": ""1"", ""content"": ""看你年纪不大，怎么记性这么不好，如果不值得你建议那你刚才怎么会建议我换一个方法呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你很有气质，能交个朋友吗""}, {""sex"": ""2"", ""content"": ""我们又不认识?""}, {""sex"": ""1"", ""content"": ""世界上其实没有陌生的两个人，只有还没相识的两个朋友，让我们彼此多一个朋友好吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""您好，请问有时间吗？我有个天想和您聊一下。""}, {""sex"": ""1"", ""content"": ""只想和我聊聊而已嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""送你一张彩票当生日礼物，请你好好留着，中奖了就去兑奖，没中奖也没关系，等着我的努力奋斗，等我成功的那天，你照样可以拿这张彩票来兑""}, {""sex"": ""1"", ""content"": ""在论坛开一个生日祝福帖，将你朋友的生日和名字写在上面，请所有论坛兄弟在那个时间帮你发信息祝福，当然，落款署名得是你""}, {""sex"": ""1"", ""content"": ""若干年前的今天，你父母伟大地制造了你，在若干年后的今天，我要把无数的小蝌蚪当生日礼物送给你，我们制造出来的伟大，将全面超越你的父""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""从照片签名看起来你真的很缺乏安全感，不过也不是无可救药哦！""}, {""sex"": ""1"", ""content"": ""看到你的手我就知道你只会吃饭不会做饭""}, {""sex"": ""1"", ""content"": ""要用开玩笑的语气，不是真的要挑衅对方。比如互动了几句后可以这样聊天：“你连饭都不会做！我要和你离婚！孩子归我狗归你。”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好不好吗""}, {""sex"": ""1"", ""content"": ""不好，你都不说你喜欢我。""}, {""sex"": ""1"", ""content"": ""好好好~你提的要求我什么时候拒绝过呀？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你滚吧你""}, {""sex"": ""1"", ""content"": ""你的左边？还是你的右边？""}, {""sex"": ""1"", ""content"": ""我在心里默默的为你铺好了床单。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""就不想理你""}, {""sex"": ""1"", ""content"": ""你都不理我，我都成“狗不理”了。""}, {""sex"": ""1"", ""content"": ""你不理我，我理你就行了呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不要理你""}, {""sex"": ""1"", ""content"": ""你怎么可以不理我这个小可爱呢。""}, {""sex"": ""1"", ""content"": ""你要是不理我，那就没人愿意理我了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你先想想""}, {""sex"": ""1"", ""content"": ""好，等我想清楚了我就告诉你。""}, {""sex"": ""1"", ""content"": ""没法想，满脑子都是你，太影响思考了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真是太好了""}, {""sex"": ""1"", ""content"": ""我这就是被你发了好人卡？""}, {""sex"": ""1"", ""content"": ""太好了？你就没一丝丝心动？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是你""}, {""sex"": ""1"", ""content"": ""关注了你这么久，你终于发现是我了。""}, {""sex"": ""1"", ""content"": ""没想到我隐藏得这么深，还是被你发现了。""}], ""lock"": 1}"
