"{""chat"": [{""sex"": ""1"", ""content"": ""你说到哪儿汇合？COCOPARK，我这是在哪儿？（转向目标）哎，请问我们这个地方是在哪儿？""}, {""sex"": ""2"", ""content"": ""这里是……""}, {""sex"": ""1"", ""content"": ""谢谢！（对电话说）我在XXX，一会儿见。（转向目标）真是太谢谢你了，你一个人在这里逛街吗？""}, {""sex"": ""2"", ""content"": ""对啊，我和朋友……""}, {""sex"": ""1"", ""content"": ""噢，我也和朋友约在这里。我们在做一件很神奇的事情，你如果没什么事的话，不如一起来？我叫xxx……""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""难怪现在街上有气质的女孩子越来越少，原来全跑去做护士了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我美吗""}, {""sex"": ""1"", ""content"": ""别以为漂亮就可以让我动心，至少你还要够笨""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""那就让我们打破这份陌生 ，敢问 姑娘芳名？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哦那好吧""}, {""sex"": ""1"", ""content"": ""我感觉到你有一丝丝的失望。""}, {""sex"": ""1"", ""content"": ""要是不好你也可以告诉我哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我好烦哦""}, {""sex"": ""1"", ""content"": ""是什么坏家伙在烦恼小仙女？""}, {""sex"": ""1"", ""content"": ""跟我聊一聊可能心情会好一些哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好奇吗""}, {""sex"": ""1"", ""content"": ""好奇会害死猫，我可不准备好奇了。""}, {""sex"": ""1"", ""content"": ""挺好奇的，要是不好奇就奇了怪。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你人好好""}, {""sex"": ""1"", ""content"": ""希望我不会被你发好人卡""}, {""sex"": ""1"", ""content"": ""我也是想好好的喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看我理不理你""}, {""sex"": ""1"", ""content"": ""你要是不理我，我就理你！""}, {""sex"": ""1"", ""content"": ""你怎么可以不理我呢，你这个人啊""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗯，你好""}, {""sex"": ""1"", ""content"": ""你好我好小姐姐好！""}, {""sex"": ""1"", ""content"": ""不知仙女这要去干嘛呢？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""丑不丑""}, {""sex"": ""1"", ""content"": ""在我眼里你最美。""}, {""sex"": ""1"", ""content"": ""再丑也是我老婆，我已经决定了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""打你呢""}, {""sex"": ""1"", ""content"": ""打我？你确定？""}, {""sex"": ""1"", ""content"": ""谁打谁还不一定呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你来追呀""}, {""sex"": ""1"", ""content"": ""如果我追到了，有什么奖励呢。""}, {""sex"": ""1"", ""content"": ""有本事你别跑啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我要告诉你妈妈""}, {""sex"": ""1"", ""content"": ""去说吧，以后她就是你妈妈了""}, {""sex"": ""1"", ""content"": ""别别别，我妈知道了我可就小命不保了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我妈妈在做饭""}, {""sex"": ""1"", ""content"": ""那你快去学学，毕竟你以后是我孩子的妈妈。""}, {""sex"": ""1"", ""content"": ""咱妈做饭一定很好吃吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你先说吧""}, {""sex"": ""1"", ""content"": ""女士优先，我洗耳恭听。""}, {""sex"": ""1"", ""content"": ""那我说咯，要是告白的话你听完可不许跑掉。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""才不信你""}, {""sex"": ""1"", ""content"": ""我这么诚实可信，你怎么就不信我呢。""}, {""sex"": ""1"", ""content"": ""我是哪里让你不相信了？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想见吗""}, {""sex"": ""1"", ""content"": ""我可以见漂亮的你吗。""}, {""sex"": ""1"", ""content"": ""容许我打扮一下啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你很逗吗""}, {""sex"": ""1"", ""content"": ""你需要我来逗你笑吗？""}, {""sex"": ""1"", ""content"": ""这可不是逗，这是幽默。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""娶不娶的还早""}, {""sex"": ""1"", ""content"": ""不早了，我怕你被人抢了！""}, {""sex"": ""1"", ""content"": ""要娶肯定得趁早啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你头像""}, {""sex"": ""1"", ""content"": ""是不是觉得非常适合你呀。""}, {""sex"": ""1"", ""content"": ""咋滴，这就开始关心起我的头像啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""看电影啊""}, {""sex"": ""1"", ""content"": ""电影能有我好看吗！""}, {""sex"": ""1"", ""content"": ""看什么电影，只要看你就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""去看电影""}, {""sex"": ""1"", ""content"": ""你想让我陪你看什么电影呢？""}, {""sex"": ""1"", ""content"": ""是看喜欢你的电影吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""瞎说吧""}, {""sex"": ""1"", ""content"": ""我瞎说大实话呢。""}, {""sex"": ""1"", ""content"": ""我才不瞎说呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你夸我""}, {""sex"": ""1"", ""content"": ""你都是仙女了，我夸你干嘛。""}, {""sex"": ""1"", ""content"": ""夸你都是我日常行为，还需要你来提醒？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""当你夸我""}, {""sex"": ""1"", ""content"": ""可以啊，你就当我是在夸你。""}, {""sex"": ""1"", ""content"": ""我没有夸你，我只是在说一些实话而已。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你太撩了""}, {""sex"": ""1"", ""content"": ""毕竟喜欢你所以得会撩你啊。""}, {""sex"": ""1"", ""content"": ""已经控制不住的想撩你了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""心里想你""}, {""sex"": ""1"", ""content"": ""想我就要大声说出来。""}, {""sex"": ""1"", ""content"": ""想我不要憋在心里，会难受的。""}], ""lock"": 1}"
