"{""chat"": [{""sex"": ""2"", ""content"": ""怎么称呼""}, {""sex"": ""1"", ""content"": ""我姓相，单名一个公，你叫我老公就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你谁啊""}, {""sex"": ""1"", ""content"": ""我也在想这个问题，我不知道你是谁，但你是怎么出现在我好友栏里的？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好开心哦""}, {""sex"": ""1"", ""content"": ""是啊，只要跟你聊天我就觉得很开心""}, {""sex"": ""1"", ""content"": ""开开心心没有烦恼不是挺好的嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好""}, {""sex"": ""1"", ""content"": ""这是我第一次被美女搭讪""}, {""sex"": ""1"", ""content"": ""你好，你是想问路呢？还是想推销呢？还是想认识帅哥呢？""}, {""sex"": ""1"", ""content"": ""Im fine thanks,and you?""}, {""sex"": ""1"", ""content"": ""现在是流行这么官方的打招呼方式吗？""}, {""sex"": ""1"", ""content"": ""刚才还不好，看到你这一刻就变好了，谢谢""}, {""sex"": ""1"", ""content"": ""我不好（害羞的表情）""}, {""sex"": ""1"", ""content"": ""小姐姐，你好礼貌，我们都要好好的。""}, {""sex"": ""1"", ""content"": ""你好我好大家好""}, {""sex"": ""1"", ""content"": ""有你的到来，当然非常好""}, {""sex"": ""1"", ""content"": ""这么客气，太见外了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有你有""}, {""sex"": ""1"", ""content"": ""好好好，我有，真是拿你没办法啊。""}, {""sex"": ""1"", ""content"": ""对啊，我有你这个女朋友，你承认吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不讲理""}, {""sex"": ""1"", ""content"": ""老公不讲理不行吗！""}, {""sex"": ""1"", ""content"": ""喜欢你哪里还有什么讲不讲理的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""都是你""}, {""sex"": ""1"", ""content"": ""是我是我，最爱你的人是我。""}, {""sex"": ""1"", ""content"": ""不是我的话我可是会吃醋的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有空""}, {""sex"": ""1"", ""content"": ""遇见这么可爱的你，必须是有空啊。""}, {""sex"": ""1"", ""content"": ""要是没空我都会变得有空！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你吃了？""}, {""sex"": ""1"", ""content"": ""女神都这么问了，我肯定说没吃。""}, {""sex"": ""1"", ""content"": ""没吃，不过可否邀请姑娘一起吃个便饭呢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好能吃""}, {""sex"": ""1"", ""content"": ""能吃是福，多吃点才是硬道理！""}, {""sex"": ""1"", ""content"": ""作为个吃货，不能给吃货丢脸。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我妈妈一家都来""}, {""sex"": ""1"", ""content"": ""那我得考虑下费用要多少了。""}, {""sex"": ""1"", ""content"": ""那我一定好好招待你妈妈一家。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""长发及腰也没人娶，不等了""}, {""sex"": ""1"", ""content"": ""那我娶你好了。""}, {""sex"": ""1"", ""content"": ""我不是人吗！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""像谁""}, {""sex"": ""1"", ""content"": ""像你这个小可爱，还需要我说嘛？""}, {""sex"": ""1"", ""content"": ""像我！毕竟这就是夫妻相啊。""}], ""lock"": 1}"
