"{""chat"": [{""sex"": ""1"", ""content"": ""你好，我的朋友说你很有气质，想和你认识一下，但他很害羞，所以我过来了。我叫XXX""}, {""sex"": ""2"", ""content"": ""（女生会给出一些回应。）""}, {""sex"": ""1"", ""content"": ""太好了，方便告诉电话么？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""嗨，你要对我负责哦""}, {""sex"": ""2"", ""content"": ""负什么责""}, {""sex"": ""1"", ""content"": ""我眼睛被你电到了""}, {""sex"": ""2"", ""content"": ""你不是吧""}, {""sex"": ""1"", ""content"": ""你很像我一个朋友，她很漂亮""}, {""sex"": ""2"", ""content"": ""是吗 谢谢""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""感觉你挺眼熟的，你之前是不是有来过这里？""}, {""sex"": ""1"", ""content"": ""其实…我喜欢你这个套近乎的方式""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你最近还好吗""}, {""sex"": ""1"", ""content"": ""不好，没你在身边的日子能好过吗！""}, {""sex"": ""1"", ""content"": ""一切安好，只是少了你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""油嘴滑舌。""}, {""sex"": ""1"", ""content"": ""你又没舔过 怎么知道？""}, {""sex"": ""1"", ""content"": ""哪有，我每次吃完饭都漱口的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜你猜""}, {""sex"": ""1"", ""content"": ""曾经有人告诉我，女孩的心思你别猜""}, {""sex"": ""1"", ""content"": ""看不破的是人心，猜不透的是女生的心""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜啊！""}, {""sex"": ""1"", ""content"": ""猜对了是不是有啥奖励呢？！""}, {""sex"": ""1"", ""content"": ""我猜你猜我猜不猜。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你等等我""}, {""sex"": ""1"", ""content"": ""等待是一种漫长且充满不确定的词语。""}, {""sex"": ""1"", ""content"": ""我已经在等你了，你赶紧来吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你等着嘛""}, {""sex"": ""1"", ""content"": ""我就在等着你啊。""}, {""sex"": ""1"", ""content"": ""你希望我来等你嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""妈妈生日""}, {""sex"": ""1"", ""content"": ""是嘛，那你要替我向妈妈带去祝福""}, {""sex"": ""1"", ""content"": ""那你今天要好好陪陪妈妈，让她过个开心的生日""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""信不信我哭给你看""}, {""sex"": ""1"", ""content"": ""哭吧，大不了我哄呗。""}, {""sex"": ""1"", ""content"": ""信，你有啥我不信的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""有你帅吗""}, {""sex"": ""1"", ""content"": ""那得看你怎么看了！""}, {""sex"": ""1"", ""content"": ""我要是没有你信吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好，在吗？""}, {""sex"": ""1"", ""content"": ""这么客气的开场白吗？""}, {""sex"": ""1"", ""content"": ""你找我当然会在啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想揍你了就不理你""}, {""sex"": ""1"", ""content"": ""那你还揍我吧，这样你就理我了。""}, {""sex"": ""1"", ""content"": ""我已经做好被你揍的准备了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""还想约你呢""}, {""sex"": ""1"", ""content"": ""那你可得先预定了，慢慢排队吧。""}, {""sex"": ""1"", ""content"": ""约我干嘛呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""嗨，你在干嘛呢""}, {""sex"": ""1"", ""content"": ""在等一个仙女姐姐在干嘛呢。""}, {""sex"": ""1"", ""content"": ""我这还能干嘛，等你翻我牌子呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你呢？""}, {""sex"": ""1"", ""content"": ""我啊，这不是得看你的意思吗。""}, {""sex"": ""1"", ""content"": ""你说好就好，我没啥意见。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不像你风格""}, {""sex"": ""1"", ""content"": ""不像吗，我觉得还挺像的呢。""}, {""sex"": ""1"", ""content"": ""风格是会变化的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡呀""}, {""sex"": ""1"", ""content"": ""我怕我睡着了，你一个人无聊。""}, {""sex"": ""1"", ""content"": ""你不说晚安我怎么睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""干嘛陪你""}, {""sex"": ""1"", ""content"": ""因为我此时此刻很需要你的陪伴""}, {""sex"": ""1"", ""content"": ""有你陪着我，我才能觉得心安""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你要约我吗""}, {""sex"": ""1"", ""content"": ""约啊！走心还是走肾？""}, {""sex"": ""1"", ""content"": ""不能约，因为要保留两位小数""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛，""}, {""sex"": ""1"", ""content"": ""在等我喜欢的人问我：“你在干嘛”""}, {""sex"": ""1"", ""content"": ""再看下次带你去哪里约会比较好""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还在干嘛呢""}, {""sex"": ""1"", ""content"": ""我这不是在等你给我发消息吗。""}, {""sex"": ""1"", ""content"": ""我还能干嘛呀，除了和你聊天还能干嘛。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我在夸你呢""}, {""sex"": ""1"", ""content"": ""那你一定要好好夸我！""}, {""sex"": ""1"", ""content"": ""夸你还不乐意嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你身高""}, {""sex"": ""1"", ""content"": ""不高不矮，正好踩线一米八""}, {""sex"": ""1"", ""content"": ""我的身高正好可以做你男朋友吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你也是坏人""}, {""sex"": ""1"", ""content"": ""我是个大坏人！""}, {""sex"": ""1"", ""content"": ""我要做个被你喜欢的坏人""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不找我玩""}, {""sex"": ""1"", ""content"": ""我现在找你玩你应该不会拒绝我吧。""}, {""sex"": ""1"", ""content"": ""难道你一直都在等我找你玩吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我想你了，""}, {""sex"": ""1"", ""content"": ""我也想你了。""}, {""sex"": ""1"", ""content"": ""你的想念我已经接收到了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""祸害小姐姐""}, {""sex"": ""1"", ""content"": ""就不祸害其他小姐姐了，祸害你就好了。""}, {""sex"": ""1"", ""content"": ""别的小姐姐不好祸害啊，只好那你下手了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是我呀""}, {""sex"": ""1"", ""content"": ""我知道是你，未来的媳妇儿。""}, {""sex"": ""1"", ""content"": ""不过来抱抱我的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是不是失恋了""}, {""sex"": ""1"", ""content"": ""对啊，喜欢的你不跟我谈恋爱。""}, {""sex"": ""1"", ""content"": ""原来我难过的情绪感染到你了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""啥是谈恋爱""}, {""sex"": ""1"", ""content"": ""就是两个互相喜欢的人在一起就是谈恋爱。""}, {""sex"": ""1"", ""content"": ""要不我手把手教你什么是谈恋爱。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不是什么""}, {""sex"": ""1"", ""content"": ""你不是一个人，你还有我""}, {""sex"": ""1"", ""content"": ""没什么没什么，你是小仙女""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是什么控""}, {""sex"": ""1"", ""content"": ""我是，只喜欢你的控！""}, {""sex"": ""1"", ""content"": ""那得看你是什么了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""谁的""}, {""sex"": ""1"", ""content"": ""我不管谁是谁的 只想你是我的""}, {""sex"": ""1"", ""content"": ""记住我对你的好，不是对谁都那样""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我现在就困了""}, {""sex"": ""1"", ""content"": ""犯困的时候带上我也行的。""}, {""sex"": ""1"", ""content"": ""困的时候来点好吃的就不困了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""吃饭嘛""}, {""sex"": ""1"", ""content"": ""怎么想请我吃饭嘛？""}, {""sex"": ""1"", ""content"": ""吃啊，一起嘛？""}], ""lock"": 1}"
