"{""chat"": [{""sex"": ""1"", ""content"": ""发现我们有个默契?""}, {""sex"": ""2"", ""content"": ""？？?""}, {""sex"": ""1"", ""content"": ""你不言，我也不语""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""在干嘛？""}, {""sex"": ""2"", ""content"": ""睡觉啊，干嘛""}, {""sex"": ""1"", ""content"": ""没什么事，很奇怪，就是突然想到你""}, {""sex"": ""2"", ""content"": ""肯定是你手机号码存少了，才会突然想到给我发短信的，不怪你，好了我睡觉了哈， 晚安。""}, {""sex"": ""1"", ""content"": ""其实是窗外野猫在叫，我马上就想到你了，所以看看你在干嘛""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好呀""}, {""sex"": ""1"", ""content"": ""现在是流行这么官方的打招呼方式吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好你好呀""}, {""sex"": ""1"", ""content"": ""咦？可爱的小仙女是在跟我打招呼吗""}, {""sex"": ""1"", ""content"": ""你也好呀！一看到你我的心情就变得好好哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你会好好对我吗？""}, {""sex"": ""1"", ""content"": ""不好好对你，我还能怎么对你啊。""}, {""sex"": ""1"", ""content"": ""你就放一百二十个心吧，我肯定会好好对你的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你存好钱吗？""}, {""sex"": ""1"", ""content"": ""放心吧，娶你的钱能不存好吗。""}, {""sex"": ""1"", ""content"": ""还没结婚就开始惦记我的私房钱啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好点了吗""}, {""sex"": ""1"", ""content"": ""还好，心里的你也没啥事""}, {""sex"": ""1"", ""content"": ""好多了，谢谢关心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你愿意做添狗吗""}, {""sex"": ""1"", ""content"": ""舔到应有尽有的那种吗？""}, {""sex"": ""1"", ""content"": ""舔狗一时爽一直舔一直爽。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你有没有良心""}, {""sex"": ""1"", ""content"": ""我不仅有良心，还有爱心真心耐心恒心责任心""}, {""sex"": ""1"", ""content"": ""我有没有良心，你到我心里来看看不就知道了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你不走我走""}, {""sex"": ""1"", ""content"": ""要走就一起走！不然都留下来""}, {""sex"": ""1"", ""content"": ""我粘在你身上了，甩不掉我的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜呀！""}, {""sex"": ""1"", ""content"": ""我要是猜对了，是不是有奖励呢。""}, {""sex"": ""1"", ""content"": ""你猜我猜不猜呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你啊？""}, {""sex"": ""1"", ""content"": ""为什么你这么惊讶？""}, {""sex"": ""1"", ""content"": ""对啊，难道就不可以是我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你抗揍吗""}, {""sex"": ""1"", ""content"": ""哪得问下我的肥肉了。""}, {""sex"": ""1"", ""content"": ""你要揍我，还要问我抗揍不！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""小心揍你哦""}, {""sex"": ""1"", ""content"": ""要不要我洗白了再揍呀？""}, {""sex"": ""1"", ""content"": ""打是情骂是爱""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你眼睛瞎了""}, {""sex"": ""1"", ""content"": ""眼瞎了没事，心没瞎就好。""}, {""sex"": ""1"", ""content"": ""没瞎啊，不然怎么会看上你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你就瞎扯吧""}, {""sex"": ""1"", ""content"": ""我明明一本正经你竟然说我瞎扯！""}, {""sex"": ""1"", ""content"": ""能跟你瞎扯我觉得很开心。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你请客呀""}, {""sex"": ""1"", ""content"": ""能请小仙女吃饭是我的荣幸。""}, {""sex"": ""1"", ""content"": ""当然啦，不过你下次要请我看电影哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""想请假""}, {""sex"": ""1"", ""content"": ""怎么了，是身体哪里不舒服吗？""}, {""sex"": ""1"", ""content"": ""想请假就请吧，你的身体由你自己做决定。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你还撩我""}, {""sex"": ""1"", ""content"": ""对不起，控制不住的想撩你""}, {""sex"": ""1"", ""content"": ""撩你怎么了，又不犯法""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我身高""}, {""sex"": ""1"", ""content"": ""你在我身边一定是小鸟依人状。""}, {""sex"": ""1"", ""content"": ""无论你多高我都能把你抱个满怀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜我多高呀""}, {""sex"": ""1"", ""content"": ""反正不要比我高就好了。""}, {""sex"": ""1"", ""content"": ""我喜欢的身高呗。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你喜不喜欢""}, {""sex"": ""1"", ""content"": ""不止喜欢，而且是喜欢得不得了""}, {""sex"": ""1"", ""content"": ""我挺喜欢的，你要送给我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你很烦人""}, {""sex"": ""1"", ""content"": ""难不成我比你那亲戚还烦人？""}, {""sex"": ""1"", ""content"": ""烦着烦着就不会烦了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我最近很烦""}, {""sex"": ""1"", ""content"": ""我这不是来帮你解决烦恼了吗。""}, {""sex"": ""1"", ""content"": ""烦的时候找我这个开心果啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你够了啊""}, {""sex"": ""1"", ""content"": ""不够，怎么爱你都不够。""}, {""sex"": ""1"", ""content"": ""可是怎么办？我就是控制不住会一直想你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""很想认识你""}, {""sex"": ""1"", ""content"": ""那你想怎么个认识呢？""}, {""sex"": ""1"", ""content"": ""现在你不就已经认识了吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""多幸福""}, {""sex"": ""1"", ""content"": ""有你在我就是幸福。""}, {""sex"": ""1"", ""content"": ""那就让我们创造幸福吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是不是累了""}, {""sex"": ""1"", ""content"": ""是有点累，要是能靠在你肩上休息一会就好了。""}, {""sex"": ""1"", ""content"": ""没有没有，这点小事难不倒我的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真是自恋""}, {""sex"": ""1"", ""content"": ""人不自恋枉少年啊。""}, {""sex"": ""1"", ""content"": ""没人让我恋，我只好自己恋自己了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是什么男""}, {""sex"": ""1"", ""content"": ""我是暖男，温暖你心房。""}, {""sex"": ""1"", ""content"": ""什么男重要吗，反正以后会成为你的男朋友。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你应该睡觉了""}, {""sex"": ""1"", ""content"": ""我应该去梦到你了。""}, {""sex"": ""1"", ""content"": ""我才不睡呢，还没和你说晚安睡不着。""}], ""lock"": 1}"
