"{""chat"": [{""sex"": ""2"", ""content"": ""哈喽。""}, {""sex"": ""1"", ""content"": ""嗨，看你照片挺可爱的""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""先生 你是哪位？""}, {""sex"": ""1"", ""content"": ""你家族里有过失忆症的病史吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是？""}, {""sex"": ""1"", ""content"": ""我姓相，单名一个公，你叫我老公就好了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是好人吗？""}, {""sex"": ""1"", ""content"": ""你觉得我像是好人吗？""}, {""sex"": ""1"", ""content"": ""你觉得有坏人说自己是坏人的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我对你不好吗？""}, {""sex"": ""1"", ""content"": ""挺好的呀啊，我没有说你不好吧。""}, {""sex"": ""1"", ""content"": ""不好，你没有我对你好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""那你多想想""}, {""sex"": ""1"", ""content"": ""我会好好想你的。""}, {""sex"": ""1"", ""content"": ""我怕我想太久，我自己都会怕。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想想就好""}, {""sex"": ""1"", ""content"": ""我想好了，这辈子就你了。""}, {""sex"": ""1"", ""content"": "" 幻想无数，不如动次真格。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好,你是哪位？""}, {""sex"": ""1"", ""content"": ""小仙女的记性是不是很不好？需要我帮你回忆一下吗？""}, {""sex"": ""1"", ""content"": ""我呀？我就是住在你心里的那个人呀""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是…""}, {""sex"": ""1"", ""content"": ""我是国家派发的男朋友。""}, {""sex"": ""1"", ""content"": ""我们现在还是陌生人，一会就变成朋友了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你没有吗""}, {""sex"": ""1"", ""content"": ""我有颗爱你的心。""}, {""sex"": ""1"", ""content"": ""没有啊，那你给我吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""外面走走""}, {""sex"": ""1"", ""content"": ""此时此刻你需要一个同伴。""}, {""sex"": ""1"", ""content"": ""有时候去外面走一走呼吸新鲜空气也挺好的。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""走开了""}, {""sex"": ""1"", ""content"": ""心在你身上，怎么走得开？""}, {""sex"": ""1"", ""content"": ""要走你走，反正我不走。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""最想要吃你""}, {""sex"": ""1"", ""content"": ""你想白天吃？还是晚上吃？""}, {""sex"": ""1"", ""content"": ""你当我是猪肉啊，想吃就吃！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你追吧""}, {""sex"": ""1"", ""content"": ""那你跑慢点，好让我早点追到你。""}, {""sex"": ""1"", ""content"": ""虽然我的竞争对手很多，但我相信我一定能抱得美人归。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你娶我啊""}, {""sex"": ""1"", ""content"": ""那我可真的是荣幸之至啊。""}, {""sex"": ""1"", ""content"": ""你说娶我就娶啊，好的！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""娶别人""}, {""sex"": ""1"", ""content"": ""只有跟你在一起我才会感到幸福，娶了别人我怎么会快乐？""}, {""sex"": ""1"", ""content"": ""我这辈子非你不娶。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你来接我啊""}, {""sex"": ""1"", ""content"": ""小公主大驾光临，我肯定是要去接你的。""}, {""sex"": ""1"", ""content"": ""顺利接到你，你可要给我奖励哦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""这话我不接""}, {""sex"": ""1"", ""content"": ""你分明就是接不下去嘛""}, {""sex"": ""1"", ""content"": ""我看你不是不接，而是不敢接吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈哈不敢不敢""}, {""sex"": ""1"", ""content"": ""大姐，还有你不敢的吗？""}, {""sex"": ""1"", ""content"": ""你不敢跟我表白的话，只能我上了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""让你瞎说""}, {""sex"": ""1"", ""content"": ""我没瞎说，明明说的都是实话好嘛。""}, {""sex"": ""1"", ""content"": ""我没瞎怎么可能说瞎话呢，真的是。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""别瞎想""}, {""sex"": ""1"", ""content"": ""没瞎想，想的全是你。""}, {""sex"": ""1"", ""content"": ""一想到与你有关我就忍不住瞎想。""}], ""lock"": 1}"
