"{""chat"": [{""sex"": ""2"", ""content"": ""早安""}, {""sex"": ""1"", ""content"": ""早安宝贝 睡得怎么样？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好好玩吧""}, {""sex"": ""1"", ""content"": ""不行，没有你就不好玩了。""}, {""sex"": ""1"", ""content"": ""难道有陪你更好玩的吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好呐""}, {""sex"": ""1"", ""content"": ""你好， 我好，才是真的好。""}, {""sex"": ""1"", ""content"": ""你好就相当于我好了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好我也好""}, {""sex"": ""1"", ""content"": ""大家好才是真的好！""}, {""sex"": ""1"", ""content"": ""有你在的时候，我才能够更好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""真的好丑""}, {""sex"": ""1"", ""content"": ""人丑不要紧，丑别炫耀就好。""}, {""sex"": ""1"", ""content"": ""你让我想起一首歌“丑八怪”""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你吃没？""}, {""sex"": ""1"", ""content"": ""我就等你这句话一起吃饭了！""}, {""sex"": ""1"", ""content"": ""你都还没吃我怎么敢去吃呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你猜我猜不猜。""}, {""sex"": ""1"", ""content"": ""我猜你猜不猜！""}, {""sex"": ""1"", ""content"": ""要是猜中了是不是有奖励呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""等你什么""}, {""sex"": ""1"", ""content"": ""等我来娶你好不好！""}, {""sex"": ""1"", ""content"": ""等我哪天去你家提亲去。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你以为我是你啊""}, {""sex"": ""1"", ""content"": ""你要是我，就能知道我的心了。""}, {""sex"": ""1"", ""content"": ""就是因为你不是我，才不知道啊。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""为嘛想你啊""}, {""sex"": ""1"", ""content"": ""因为你是我未来女朋友啊""}, {""sex"": ""1"", ""content"": ""不想我，你还想干嘛啊！""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""娶老婆""}, {""sex"": ""1"", ""content"": ""要不我还是娶你好了，""}, {""sex"": ""1"", ""content"": ""这种想法太危险了，我还是不要了吧。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡去吧""}, {""sex"": ""1"", ""content"": ""你都还没睡我怎么舍得睡呢""}, {""sex"": ""1"", ""content"": ""睡着了可以在梦里见到你吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我陪着你""}, {""sex"": ""1"", ""content"": ""谢谢你陪着我，我感觉整个人都好很多了""}, {""sex"": ""1"", ""content"": ""我希望以后都有你陪着我。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你敢啊""}, {""sex"": ""1"", ""content"": ""只要是喜欢你，我有啥不敢的。""}, {""sex"": ""1"", ""content"": ""男子汉大丈夫，没有不敢的事情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可能瞎了""}, {""sex"": ""1"", ""content"": ""有个这么好看的你，我怎么会瞎呢。""}, {""sex"": ""1"", ""content"": ""心没瞎就好。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我不约你""}, {""sex"": ""1"", ""content"": ""你不约我，别人可就要约我了哦。""}, {""sex"": ""1"", ""content"": ""看来只能我主动出击了。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你都不约我""}, {""sex"": ""1"", ""content"": ""对不起，我正在想一个借口约你呢。""}, {""sex"": ""1"", ""content"": ""那你准备让我以什么身份约你呢。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在骗我""}, {""sex"": ""1"", ""content"": ""没有啊，我哪有胆子骗你啊。""}, {""sex"": ""1"", ""content"": ""骗你是不可能，这辈子都不可能。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""哈哈，你在干嘛？""}, {""sex"": ""1"", ""content"": ""哈哈哈，我就知道可以等到小仙女""}, {""sex"": ""1"", ""content"": ""你为什么对我在干嘛那么好奇？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我等着，看你请不请""}, {""sex"": ""1"", ""content"": ""那你就好好等着，保证能等到。""}, {""sex"": ""1"", ""content"": ""那你啥时候有空，我就啥时候请啦。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""远嫁""}, {""sex"": ""1"", ""content"": ""远嫁一定要嫁给一个值得托付的人，一定要擦亮眼睛知道吗？""}, {""sex"": ""1"", ""content"": ""好像很多父母都不希望自己的女儿远嫁""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""夸我夸我""}, {""sex"": ""1"", ""content"": ""你说夸你就夸你，我不要面子的啊？""}, {""sex"": ""1"", ""content"": ""求你不要再打扮了，给其他的女人留点自信吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你撩我？""}, {""sex"": ""1"", ""content"": ""不，我撩的是我未来的女朋友。""}, {""sex"": ""1"", ""content"": ""没有撩你，是真的喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你真的会撩""}, {""sex"": ""1"", ""content"": ""我就是想撩你一个人""}, {""sex"": ""1"", ""content"": ""撩撩我的心上人不好吗。""}], ""lock"": 1}"
