"{""chat"": [{""sex"": ""1"", ""content"": ""小姐姐，我可以和你问一下路吗？""}, {""sex"": ""2"", ""content"": ""去哪？""}, {""sex"": ""1"", ""content"": ""去你心里的路""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你好，你的钱掉了""}, {""sex"": ""2"", ""content"": ""谢谢你""}, {""sex"": ""1"", ""content"": ""怎么谢，请我吃饭就不必了，我现在比较忙，如果你确实想报恩就留号码给我，下次有空再一起吃吧""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""帅哥你好呀 ！""}, {""sex"": ""1"", ""content"": ""这是我第一次被美女搭讪""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""我为什么要认识你""}, {""sex"": ""1"", ""content"": ""因为这样下次见面我们就能跟对方打招呼了""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""1"", ""content"": ""你好，你未来的男朋友上线了哦""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""好忙哦""}, {""sex"": ""1"", ""content"": ""知道你很忙，但也要记得好好吃饭。""}, {""sex"": ""1"", ""content"": ""忙里偷闲，抽空跟你聊会天呀。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你好鸭你好鸭""}, {""sex"": ""1"", ""content"": ""你好鸭，今天又是想你的一天""}, {""sex"": ""1"", ""content"": ""仙女你好鸭，今天肯定会有一天的好心情。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你是……？""}, {""sex"": ""1"", ""content"": ""我就是你日思夜想的小哥哥呀""}, {""sex"": ""1"", ""content"": ""咋的，不打算认我这个哥哥了吗""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你可以走了""}, {""sex"": ""1"", ""content"": ""我不走，我一辈子都不会走的。""}, {""sex"": ""1"", ""content"": ""走到你的心里嘛？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""是你自己说的""}, {""sex"": ""1"", ""content"": ""喜欢你是我自己说的。""}, {""sex"": ""1"", ""content"": ""那你还想听我说吗？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""欠揍啊""}, {""sex"": ""1"", ""content"": ""你敢揍我！生气！""}, {""sex"": ""1"", ""content"": ""像我这样的好人，你舍得揍我？""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你在干嘛呢你在干嘛呢""}, {""sex"": ""1"", ""content"": ""刚好在想小仙女，小仙女就出现了呢""}, {""sex"": ""1"", ""content"": ""哇，我喜欢小仙女这么关心我""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""不像你啊""}, {""sex"": ""1"", ""content"": ""要是像我还怎么让我喜欢你啊。""}, {""sex"": ""1"", ""content"": ""对啊，不像我这么喜欢你。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你睡着了？""}, {""sex"": ""1"", ""content"": ""你都还没睡，我怎么舍得睡。""}, {""sex"": ""1"", ""content"": ""你的晚安还没给，不能睡。""}], ""lock"": 1}"
"{""chat"": [{""sex"": ""2"", ""content"": ""你想睡就睡吧""}, {""sex"": ""1"", ""content"": ""可是你都还没有跟我说晚安。""}, {""sex"": ""1"", ""content"": ""那不行，喜欢的人还没睡我不能先睡。""}], ""lock"": 1}"
